analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_yes_piecewise,True,9,piecewise_lags_1_sinusoidal_yes,0.24,0.045,499.501,507.495,True,True,False,0.719,-0.782,0,1.467,1.584,0.029,780.9138913138075,1.01,0.07,,,1.009,1.097,0.945,0.629
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_yes_piecewise,True,9,piecewise_lags_5_sinusoidal_yes,0.289,0.017,443.322,450.39,True,True,False,0.71,-0.887,0,2.91,4.644,0.035,783.4083870059537,,,2.643,0.096,1.032,1.059,0.404,0.971
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_no_piecewise,False,10,piecewise_lags_none_sinusoidal_no,0.079,0.071,1238.517,1245.219,False,False,False,0.182,0.054,0,1.161,1.161,0.024,800.4210520258989,,,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_no_piecewise,False,10,piecewise_lags_1_sinusoidal_no,0.078,0.073,1223.552,1232.43,False,False,False,0.178,-0.182,0,1.179,1.235,0.032,800.0954819002222,1.056,0.656,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_5_sinusoidal_no_piecewise,False,10,piecewise_lags_5_sinusoidal_no,0.061,0.151,1156.766,1165.401,False,False,False,0.172,-0.022,0,1.191,1.31,0.072,800.7109549945152,,,1.119,0.388,,,,
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_yes_piecewise,False,10,piecewise_lags_none_sinusoidal_yes,0.142,0.034,1237.602,1248.773,False,False,False,0.237,0.072,0,1.161,1.163,0.016,800.4210520258989,,,,,1.001,1.001,0.039,0.584
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_yes_piecewise,False,10,piecewise_lags_1_sinusoidal_yes,0.14,0.039,1222.8,1236.117,False,False,False,0.233,-0.194,0,1.18,1.24,0.022,800.0954819002222,1.056,0.616,,,1.0,1.004,0.047,0.54
Croplands_cluster_2_yearly_False_window_10_lags_5_sinusoidal_yes_piecewise,False,10,piecewise_lags_5_sinusoidal_yes,0.12,0.124,1156.603,1169.556,False,False,False,0.218,-0.036,0,1.192,1.319,0.051,800.7109549945152,,,1.12,0.37,1.005,1.002,0.065,0.56
Croplands_cluster_2_yearly_True_window_10_lags_none_sinusoidal_no_piecewise,True,10,piecewise_lags_none_sinusoidal_no,0.237,0.029,507.363,511.465,True,True,False,0.392,0.078,0,1.45,1.45,0.011,777.1993265148329,,,,,,,,
Croplands_cluster_2_yearly_True_window_10_lags_1_sinusoidal_no_piecewise,True,10,piecewise_lags_1_sinusoidal_no,0.269,0.026,490.758,496.087,True,True,False,0.476,-0.143,0,1.476,1.562,0.013,778.0193617188464,1.085,0.137,,,,,,
Croplands_cluster_2_yearly_True_window_10_lags_5_sinusoidal_no_piecewise,True,10,piecewise_lags_5_sinusoidal_no,0.237,0.023,439.965,444.677,True,True,False,0.347,-0.148,0,4.223,6.95,0.043,778.7885388272027,,,3.726,0.262,,,,
Croplands_cluster_2_yearly_True_window_10_lags_none_sinusoidal_yes_piecewise,True,10,piecewise_lags_none_sinusoidal_yes,0.27,0.021,510.085,516.922,False,True,False,0.391,-0.422,0,1.491,1.582,0.009,777.1993265148329,,,,,1.035,1.056,0.345,0.716
Croplands_cluster_2_yearly_True_window_10_lags_1_sinusoidal_yes_piecewise,True,10,piecewise_lags_1_sinusoidal_yes,0.285,0.026,494.132,502.125,True,False,False,0.495,-0.161,0,1.508,1.667,0.014,778.0193617188464,1.091,0.149,,,1.033,1.035,0.489,0.977
Croplands_cluster_2_yearly_True_window_10_lags_5_sinusoidal_yes_piecewise,True,10,piecewise_lags_5_sinusoidal_yes,0.399,0.004,438.237,445.305,True,False,False,0.587,-0.712,0,4.865,8.334,0.006,778.7885388272027,,,4.269,0.31,1.197,1.002,0.046,0.626
