analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_True_window_8_lags_1_sinusoidal_yes_quadratic,True,8,quadratic_lags_1_sinusoidal_yes,0.405,0.002,421.489,429.264,True,True,False,0.446,-0.371,0,1.583,1.631,0.052,1.034,0.087,,,,,,,,,1.013,1.001,0.423,0.67
Croplands_cluster_0_yearly_True_window_8_lags_2_sinusoidal_yes_quadratic,True,8,quadratic_lags_2_sinusoidal_yes,0.406,0.034,405.488,413.036,False,True,False,0.481,-0.913,0,1.529,1.601,0.21,,,1.001,0.004,,,,,,,1.071,1.0,0.817,0.773
Croplands_cluster_0_yearly_True_window_8_lags_3_sinusoidal_yes_quadratic,True,8,quadratic_lags_3_sinusoidal_yes,0.252,0.034,387.932,395.246,False,True,False,0.49,-2.659,0,1.652,1.715,0.108,,,,,1.004,0.268,,,,,1.059,1.0,0.447,0.803
Croplands_cluster_0_yearly_True_window_8_lags_4_sinusoidal_yes_quadratic,True,8,quadratic_lags_4_sinusoidal_yes,0.133,0.202,378.074,385.142,True,True,False,0.678,-2.547,0,1.667,1.876,0.523,,,,,,,1.152,0.377,,,1.031,1.026,0.533,0.793
Croplands_cluster_0_yearly_True_window_8_lags_7_sinusoidal_yes_quadratic,True,8,quadratic_lags_7_sinusoidal_yes,0.298,0.416,327.241,333.508,True,True,False,0.604,-6.31,0,1.655,1.91,0.073,,,,,,,,,1.158,0.697,1.092,1.006,0.703,0.708
Croplands_cluster_0_yearly_False_window_9_lags_none_sinusoidal_no_quadratic,False,9,quadratic_lags_none_sinusoidal_no,0.016,0.819,853.489,859.4,False,True,False,0.549,-0.054,0,1.812,1.812,0.377,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_9_lags_1_sinusoidal_no_quadratic,False,9,quadratic_lags_1_sinusoidal_no,0.033,0.721,777.575,785.38,False,True,False,1.099,-0.135,0,1.927,2.018,0.336,1.091,0.814,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_9_lags_2_sinusoidal_no_quadratic,False,9,quadratic_lags_2_sinusoidal_no,0.024,0.319,747.387,755.115,False,False,False,0.908,-0.04,0,1.957,1.976,0.875,,,1.019,0.452,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_9_lags_3_sinusoidal_no_quadratic,False,9,quadratic_lags_3_sinusoidal_no,0.143,0.078,723.811,731.459,False,True,False,1.16,-0.08,0,2.11,2.15,0.938,,,,,1.04,0.011,,,,,,,,
Croplands_cluster_0_yearly_False_window_9_lags_4_sinusoidal_no_quadratic,False,9,quadratic_lags_4_sinusoidal_no,0.182,0.008,708.091,715.658,True,True,False,0.982,-0.062,0,2.207,2.279,0.936,,,,,,,1.072,0.009,,,,,,
