analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_4_lags_4_sinusoidal_no_linear,False,4,linear_lags_4_sinusoidal_no,0.182,0.0,3144.681,3154.124,False,False,False,0.89,0.16,0,1.0,,,,,,,1.0,0.153,,,,,,
Croplands_yearly_False_window_4_lags_5_sinusoidal_no_linear,False,4,linear_lags_5_sinusoidal_no,0.131,0.0,3182.698,3192.123,False,False,False,0.931,0.099,0,1.0,,,,,,,,,1.0,0.378,,,,
Croplands_yearly_False_window_4_lags_none_sinusoidal_yes_linear,False,4,linear_lags_none_sinusoidal_yes,0.172,0.0,3219.192,3231.874,False,False,False,0.901,0.098,0,1.0,,,,,,,,,,,1.0,1.0,0.621,0.472
Croplands_yearly_False_window_4_lags_1_sinusoidal_yes_linear,False,4,linear_lags_1_sinusoidal_yes,0.18,0.0,3200.518,3216.342,False,False,False,0.923,0.14,0,1.0,1.0,0.335,,,,,,,,,1.0,1.0,0.597,0.422
Croplands_yearly_False_window_4_lags_2_sinusoidal_yes_linear,False,4,linear_lags_2_sinusoidal_yes,0.179,0.0,3185.226,3201.022,False,False,False,0.899,0.148,0,1.0,,,1.0,0.536,,,,,,,1.0,1.0,0.489,0.338
Croplands_yearly_False_window_4_lags_3_sinusoidal_yes_linear,False,4,linear_lags_3_sinusoidal_yes,0.137,0.0,3221.216,3236.982,False,False,False,0.943,0.079,0,1.0,,,,,1.0,0.517,,,,,1.0,1.0,0.921,0.341
Croplands_yearly_False_window_4_lags_4_sinusoidal_yes_linear,False,4,linear_lags_4_sinusoidal_yes,0.19,0.0,3146.909,3162.646,False,False,False,0.895,0.145,0,1.0,,,,,,,1.0,0.132,,,1.0,1.0,0.633,0.226
Croplands_yearly_False_window_4_lags_5_sinusoidal_yes_linear,False,4,linear_lags_5_sinusoidal_yes,0.141,0.0,3184.671,3200.379,False,False,False,0.938,0.078,0,1.0,,,,,,,,,1.0,0.307,1.0,1.0,0.91,0.163
Croplands_yearly_True_window_4_lags_none_sinusoidal_no_linear,True,4,linear_lags_none_sinusoidal_no,0.568,0.0,623.741,627.068,True,True,False,0.413,0.545,0,1.0,,,,,,,,,,,,,,
Croplands_yearly_True_window_4_lags_1_sinusoidal_no_linear,True,4,linear_lags_1_sinusoidal_no,0.661,0.0,604.57,609.483,True,True,False,0.554,0.637,0,1.0,1.0,0.061,,,,,,,,,,,,
Croplands_yearly_True_window_4_lags_2_sinusoidal_no_linear,True,4,linear_lags_2_sinusoidal_no,0.63,0.0,590.207,595.04,True,True,False,0.436,0.566,0,1.0,,,1.0,0.061,,,,,,,,,,
Croplands_yearly_True_window_4_lags_3_sinusoidal_no_linear,True,4,linear_lags_3_sinusoidal_no,0.643,0.0,575.426,580.177,True,True,False,0.446,0.581,0,1.0,,,,,1.0,0.133,,,,,,,,
