analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.52,0.0,1193.027,1204.124,False,True,False,0.616,0.39,0,1.0,,,1.0,0.456,1.0,1.0,0.072,0.962
Maize_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.588,0.0,631.774,634.996,True,True,False,0.629,0.503,0,1.0,,,,,,,,
Maize_yearly_True_window_5_lags_0_sinusoidal_no_linear,True,5,linear_lags_0_sinusoidal_no,0.588,0.0,633.767,638.599,True,False,False,0.631,0.463,0,1.0,1.0,0.935,,,,,,
Maize_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.705,0.0,603.893,608.643,True,True,False,0.812,0.597,0,1.0,,,1.0,0.52,,,,
Maize_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.625,0.0,632.297,638.74,True,False,False,0.71,0.391,0,1.0,,,,,1.0,1.0,0.084,0.783
Maize_yearly_True_window_5_lags_0_sinusoidal_yes_linear,True,5,linear_lags_0_sinusoidal_yes,0.625,0.0,634.294,642.349,True,False,False,0.711,0.295,0,1.0,1.0,0.911,,,1.0,1.0,0.089,0.788
Maize_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.743,0.0,602.929,610.847,True,True,False,0.859,0.637,0,1.0,,,1.0,0.429,1.0,1.0,0.057,0.406
Maize_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.54,0.0,1195.336,1199.805,True,True,False,0.585,0.532,0,1.0,,,,,,,,
Maize_yearly_False_window_6_lags_0_sinusoidal_no_linear,False,6,linear_lags_0_sinusoidal_no,0.564,0.0,1193.52,1200.222,True,True,False,0.67,0.508,0,1.0,1.0,0.057,,,,,,
Maize_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.58,0.0,1171.089,1177.748,True,True,False,0.673,0.492,0,1.0,,,1.0,0.827,,,,
Maize_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.569,0.0,1194.77,1203.706,True,True,False,0.622,0.483,0,1.0,,,,,1.0,1.0,0.039,0.878
Maize_yearly_False_window_6_lags_0_sinusoidal_yes_linear,False,6,linear_lags_0_sinusoidal_yes,0.598,0.0,1192.066,1203.237,True,True,False,0.719,0.517,0,1.0,1.0,0.05,,,1.0,1.0,0.029,0.594
Maize_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.606,0.0,1170.745,1181.842,True,True,False,0.715,0.482,0,1.0,,,1.0,0.873,1.0,1.0,0.06,0.478
Maize_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.603,0.0,627.248,630.47,True,False,False,0.353,0.528,0,1.0,,,,,,,,
Maize_yearly_True_window_6_lags_0_sinusoidal_no_linear,True,6,linear_lags_0_sinusoidal_no,0.69,0.0,620.063,624.896,True,True,False,0.716,0.53,0,1.0,1.0,0.004,,,,,,
Maize_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.739,0.0,595.543,600.294,True,True,False,0.544,0.639,0,1.0,,,1.0,0.956,,,,
Maize_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.625,0.0,629.161,635.605,True,False,False,0.384,0.482,0,1.0,,,,,1.0,1.0,0.176,0.998
Maize_yearly_True_window_6_lags_0_sinusoidal_yes_linear,True,6,linear_lags_0_sinusoidal_yes,0.717,0.0,620.656,628.71,True,False,False,0.815,0.524,0,1.0,1.0,0.003,,,1.0,1.0,0.159,0.459
Maize_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.761,0.0,596.497,604.414,True,False,False,0.545,0.592,0,1.0,,,1.0,0.883,1.0,1.0,0.235,0.262
Maize_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.632,0.0,1173.308,1177.776,True,True,False,0.471,0.629,0,1.0,,,,,,,,
Maize_yearly_False_window_7_lags_0_sinusoidal_no_linear,False,7,linear_lags_0_sinusoidal_no,0.638,0.0,1174.212,1180.914,True,True,False,0.475,0.625,0,1.0,1.0,0.308,,,,,,
Maize_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.663,0.0,1149.583,1156.242,True,True,False,0.477,0.627,0,1.0,,,1.0,0.47,,,,
Maize_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.664,0.0,1171.127,1180.064,True,False,False,0.518,0.61,0,1.0,,,,,1.0,1.0,0.018,0.646
Maize_yearly_False_window_7_lags_0_sinusoidal_yes_linear,False,7,linear_lags_0_sinusoidal_yes,0.669,0.0,1172.063,1183.234,True,False,False,0.518,0.599,0,1.0,1.0,0.283,,,1.0,1.0,0.02,0.601
Maize_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.694,0.0,1147.172,1158.27,True,True,False,0.514,0.633,0,1.0,,,1.0,0.405,1.0,1.0,0.026,0.294
