analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_7_lags_7_sinusoidal_yes_spline,False,7,spline_lags_7_sinusoidal_yes,0.223,0.474,761.645,776.275,False,False,False,0.904,-0.111,0,1.0,1.01,1.119,1.027,0.2,0.837,0.579,"[np.float64(500.913), np.float64(540.0), np.float64(559.435), np.float64(576.224), np.float64(617.929)]",,,,,,,,,1.068,0.058,1.079,1.009,0.571,0.097
Croplands_cluster_0_yearly_True_window_7_lags_none_sinusoidal_no_spline,True,7,spline_lags_none_sinusoidal_no,0.343,0.016,445.085,451.746,False,True,False,0.688,-1.269,0,1.0,1.0,1.0,1.0,0.111,0.671,0.461,"[np.float64(512.6990000000001), np.float64(555.5), np.float64(568.27685), np.float64(585.3676), np.float64(614.68)]",,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_1_sinusoidal_no_spline,True,7,spline_lags_1_sinusoidal_no,0.43,0.003,424.657,432.432,False,True,False,0.966,-1.095,0,1.0,1.012,1.019,1.011,0.265,0.031,0.876,"[np.float64(543.51), np.float64(565.8), np.float64(576.1), np.float64(587.4508), np.float64(614.68)]",1.042,0.01,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_2_sinusoidal_no_spline,True,7,spline_lags_2_sinusoidal_no,0.262,0.117,415.508,423.056,False,True,False,0.874,-2.854,0,1.0,1.059,1.0,1.019,0.499,0.382,0.398,"[np.float64(543.51), np.float64(565.8), np.float64(576.1), np.float64(589.534), np.float64(614.68)]",,,1.078,0.072,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_3_sinusoidal_no_spline,True,7,spline_lags_3_sinusoidal_no,0.144,0.273,398.396,405.709,False,True,False,0.939,-0.254,0,1.0,1.006,1.043,1.017,0.303,0.492,0.909,"[np.float64(543.51), np.float64(565.8), np.float64(573.62), np.float64(579.118), np.float64(614.68)]",,,,,1.066,0.832,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_4_sinusoidal_no_spline,True,7,spline_lags_4_sinusoidal_no,0.335,0.242,378.186,385.254,True,True,False,0.855,-2.383,0,1.0,1.003,1.072,1.061,0.818,0.156,0.028,"[np.float64(554.9014999999999), np.float64(569.1786), np.float64(581.722), np.float64(589.534), np.float64(614.68)]",,,,,,,1.136,0.944,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_7_sinusoidal_no_spline,True,7,spline_lags_7_sinusoidal_no,0.343,0.051,332.008,338.275,False,True,False,0.738,-5.058,0,1.0,1.077,1.23,1.016,0.503,0.07,0.238,"[np.float64(528.2065), np.float64(565.8), np.float64(576.1), np.float64(589.534), np.float64(614.68)]",,,,,,,,,1.323,0.717,,,,
Croplands_cluster_0_yearly_True_window_7_lags_none_sinusoidal_yes_spline,True,7,spline_lags_none_sinusoidal_yes,0.413,0.01,445.925,455.251,True,True,False,0.532,-1.623,0,1.0,1.144,1.018,1.073,0.054,0.662,0.509,"[np.float64(512.6990000000001), np.float64(555.5), np.float64(568.27685), np.float64(585.3676), np.float64(614.68)]",,,,,,,,,,,1.052,1.183,0.298,0.257
Croplands_cluster_0_yearly_True_window_7_lags_1_sinusoidal_yes_spline,True,7,spline_lags_1_sinusoidal_yes,0.492,0.003,425.509,435.875,False,True,False,0.805,-2.569,0,1.0,1.089,1.028,1.215,0.228,0.03,0.682,"[np.float64(543.51), np.float64(565.8), np.float64(576.1), np.float64(587.4508), np.float64(614.68)]",1.046,0.007,,,,,,,,,1.149,1.138,0.142,0.851
Croplands_cluster_0_yearly_True_window_7_lags_2_sinusoidal_yes_spline,True,7,spline_lags_2_sinusoidal_yes,0.365,0.133,415.578,425.642,True,True,False,0.943,-1.339,0,1.0,1.2,1.017,1.32,0.226,0.304,0.128,"[np.float64(543.51), np.float64(565.8), np.float64(576.1), np.float64(589.534), np.float64(614.68)]",,,1.078,0.068,,,,,,,1.017,1.442,0.683,0.109
Croplands_cluster_0_yearly_True_window_7_lags_3_sinusoidal_yes_spline,True,7,spline_lags_3_sinusoidal_yes,0.221,0.272,400.035,409.786,False,True,False,0.79,-7.451,0,1.0,1.133,1.074,1.246,0.181,0.574,0.811,"[np.float64(543.51), np.float64(565.8), np.float64(573.62), np.float64(579.118), np.float64(614.68)]",,,,,1.068,0.801,,,,,1.1,1.285,0.433,0.347
Croplands_cluster_0_yearly_True_window_7_lags_4_sinusoidal_yes_spline,True,7,spline_lags_4_sinusoidal_yes,0.386,0.275,380.292,389.717,True,True,False,0.827,-3.813,0,1.0,1.105,1.125,1.093,0.583,0.121,0.042,"[np.float64(554.9014999999999), np.float64(569.1786), np.float64(581.722), np.float64(589.534), np.float64(614.68)]",,,,,,,1.137,0.927,,,1.09,1.096,0.474,0.381
Croplands_cluster_0_yearly_True_window_7_lags_7_sinusoidal_yes_spline,True,7,spline_lags_7_sinusoidal_yes,0.376,0.11,334.948,343.304,False,True,False,0.67,-9.744,0,1.0,1.409,1.299,1.252,0.351,0.075,0.51,"[np.float64(528.2065), np.float64(565.8), np.float64(576.1), np.float64(589.534), np.float64(614.68)]",,,,,,,,,1.413,0.941,1.08,1.466,0.634,0.493
Croplands_cluster_0_yearly_False_window_8_lags_none_sinusoidal_no_spline,False,8,spline_lags_none_sinusoidal_no,0.506,0.687,842.605,852.457,False,True,False,1.029,0.386,0,1.0,1.0,1.0,1.0,0.806,0.04,0.0,"[np.float64(482.0905), np.float64(543.052), np.float64(559.7983), np.float64(582.879), np.float64(614.68)]",,,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_1_sinusoidal_no_spline,False,8,spline_lags_1_sinusoidal_no,0.107,0.253,832.133,843.84,False,True,False,1.199,-0.436,0,1.0,1.0,1.037,1.0,0.564,0.522,0.318,"[np.float64(482.0905), np.float64(533.8512), np.float64(551.38), np.float64(570.064), np.float64(614.68)]",1.038,0.047,,,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_2_sinusoidal_no_spline,False,8,spline_lags_2_sinusoidal_no,0.066,0.894,812.032,823.623,False,True,False,0.995,-2.12,0,1.0,1.008,1.0,1.021,0.777,0.543,0.594,"[np.float64(482.0905), np.float64(547.95475), np.float64(566.561), np.float64(582.879), np.float64(614.68)]",,,1.029,0.217,,,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_3_sinusoidal_no_spline,False,8,spline_lags_3_sinusoidal_no,0.028,0.745,796.569,808.042,False,True,False,1.012,-0.403,0,1.0,1.042,1.052,1.002,0.964,0.296,0.889,"[np.float64(482.0905), np.float64(549.86), np.float64(561.160675), np.float64(582.879), np.float64(614.68)]",,,,,1.095,0.884,,,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_4_sinusoidal_no_spline,False,8,spline_lags_4_sinusoidal_no,0.026,0.794,780.115,791.466,False,True,False,0.982,-0.411,0,1.0,1.04,1.07,1.001,0.748,0.487,0.53,"[np.float64(482.0905), np.float64(528.2065), np.float64(558.05), np.float64(582.879), np.float64(614.68)]",,,,,,,1.111,0.848,,,,,,
Croplands_cluster_0_yearly_False_window_8_lags_7_sinusoidal_no_spline,False,8,spline_lags_7_sinusoidal_no,0.24,0.012,726.886,737.857,True,False,False,1.339,-0.937,0,1.0,1.049,1.169,1.012,0.182,0.388,0.122,"[np.float64(482.0905), np.float64(542.014125), np.float64(557.59), np.float64(579.89675), np.float64(614.68)]",,,,,,,,,1.23,0.002,,,,
Croplands_cluster_0_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.541,0.755,842.741,856.533,True,True,False,1.145,0.421,0,1.0,1.005,1.092,1.023,0.896,0.119,0.0,"[np.float64(482.0905), np.float64(543.052), np.float64(559.7983), np.float64(582.879), np.float64(614.68)]",,,,,,,,,,,1.007,1.112,0.377,0.111
Croplands_cluster_0_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.198,0.359,830.555,846.165,True,True,False,1.344,-0.602,0,1.0,1.045,1.09,1.059,0.837,0.385,0.457,"[np.float64(482.0905), np.float64(533.8512), np.float64(551.38), np.float64(570.064), np.float64(614.68)]",1.039,0.052,,,,,,,,,1.065,1.09,0.978,0.031
Croplands_cluster_0_yearly_False_window_8_lags_2_sinusoidal_yes_spline,False,8,spline_lags_2_sinusoidal_yes,0.097,0.874,814.266,829.721,True,True,False,1.089,-2.179,0,1.0,1.008,1.111,1.058,0.761,0.792,0.489,"[np.float64(482.0905), np.float64(547.95475), np.float64(566.561), np.float64(582.879), np.float64(614.68)]",,,1.03,0.208,,,,,,,1.01,1.137,0.679,0.254
