analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_7_lags_3_sinusoidal_yes_linear,False,7,linear_lags_3_sinusoidal_yes,0.118,0.455,822.506,832.066,False,False,False,0.721,0.044,0,1.0,,,,,1.0,0.997,,,,,1.0,1.0,0.606,0.047
Croplands_cluster_0_yearly_False_window_7_lags_4_sinusoidal_yes_linear,False,7,linear_lags_4_sinusoidal_yes,0.11,0.886,806.501,815.96,False,False,False,0.689,-0.029,0,1.0,,,,,,,1.0,0.452,,,1.0,1.0,0.71,0.053
Croplands_cluster_0_yearly_False_window_7_lags_7_sinusoidal_yes_linear,False,7,linear_lags_7_sinusoidal_yes,0.18,0.398,758.109,767.253,False,False,False,0.888,-0.021,0,1.0,,,,,,,,,1.0,0.037,1.0,1.0,0.606,0.09
Croplands_cluster_0_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.243,0.008,443.045,445.709,False,True,False,0.532,0.226,0,1.0,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.239,0.022,426.441,430.329,False,True,False,0.432,0.227,0,1.0,1.0,0.058,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_2_sinusoidal_no_linear,True,7,linear_lags_2_sinusoidal_no,0.18,0.116,412.259,416.034,False,True,False,0.427,0.0,0,1.0,,,1.0,0.072,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_3_sinusoidal_no_linear,True,7,linear_lags_3_sinusoidal_no,0.061,0.243,394.688,398.345,False,True,False,0.493,-0.156,0,1.0,,,,,1.0,0.778,,,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_4_sinusoidal_no_linear,True,7,linear_lags_4_sinusoidal_no,0.046,0.351,380.844,384.378,False,True,False,0.512,-0.296,0,1.0,,,,,,,1.0,0.514,,,,,,
Croplands_cluster_0_yearly_True_window_7_lags_7_sinusoidal_no_linear,True,7,linear_lags_7_sinusoidal_no,0.09,0.2,332.871,336.004,False,True,False,0.437,-0.062,0,1.0,,,,,,,,,1.0,0.475,,,,
Croplands_cluster_0_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.274,0.007,445.888,451.217,False,True,False,0.418,-0.407,0,1.0,,,,,,,,,,,1.0,1.0,0.416,0.565
