analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_0_yearly_False_window_6_lags_4_sinusoidal_yes_piecewise,False,6,piecewise_lags_4_sinusoidal_yes,0.228,0.019,815.908,827.259,True,True,False,0.861,0.1,0,3.033,3.803,0.004,535.2542282828283,,,,,,,1.736,0.831,,,1.015,1.019,0.978,0.207
Croplands_cluster_0_yearly_False_window_6_lags_7_sinusoidal_yes_piecewise,False,6,piecewise_lags_7_sinusoidal_yes,0.282,0.007,767.139,778.111,False,True,False,1.069,-0.073,0,3.013,4.069,0.003,536.4212474747475,,,,,,,,,2.042,0.16,1.0,1.013,0.578,0.197
Croplands_cluster_0_yearly_True_window_6_lags_none_sinusoidal_no_piecewise,True,6,piecewise_lags_none_sinusoidal_no,0.158,0.064,456.944,460.941,False,True,False,0.583,-0.038,0,1.307,1.307,0.404,570.8875681818182,,,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_1_sinusoidal_no_piecewise,True,6,piecewise_lags_1_sinusoidal_no,0.176,0.577,439.299,444.483,False,True,False,0.471,-0.009,0,2.963,3.11,0.848,543.3268,1.147,0.159,,,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_2_sinusoidal_no_piecewise,True,6,piecewise_lags_2_sinusoidal_no,0.087,0.577,423.507,428.54,False,True,False,0.55,-7.061,0,2.271,2.407,0.988,554.5716035353536,,,1.136,0.226,,,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_3_sinusoidal_no_piecewise,True,6,piecewise_lags_3_sinusoidal_no,0.055,0.3,405.477,410.352,True,True,False,0.652,-0.855,0,1.39,1.479,0.529,570.625898989899,,,,,1.089,0.606,,,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_4_sinusoidal_no_piecewise,True,6,piecewise_lags_4_sinusoidal_no,0.063,0.297,390.056,394.768,True,True,False,0.676,-1.147,0,1.425,1.59,0.578,571.1425727272726,,,,,,,1.164,0.329,,,,,,
Croplands_cluster_0_yearly_True_window_6_lags_7_sinusoidal_no_piecewise,True,6,piecewise_lags_7_sinusoidal_no,0.208,0.067,341.686,345.865,False,True,False,0.754,-9.163,0,1.808,2.326,0.176,568.0928838383838,,,,,,,,,1.518,0.539,,,,
Croplands_cluster_0_yearly_True_window_6_lags_none_sinusoidal_yes_piecewise,True,6,piecewise_lags_none_sinusoidal_yes,0.214,0.043,459.009,465.67,False,True,False,0.562,-0.264,0,1.315,1.34,0.356,570.8875681818182,,,,,,,,,,,1.007,1.018,0.325,0.425
Croplands_cluster_0_yearly_True_window_6_lags_1_sinusoidal_yes_piecewise,True,6,piecewise_lags_1_sinusoidal_yes,0.187,0.521,442.929,450.704,False,True,False,0.432,-0.314,0,3.001,3.171,0.93,543.3268,1.15,0.156,,,,,,,,,1.008,1.011,0.911,0.603
