analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_True_window_3_lags_1_sinusoidal_no_quadratic,True,3,quadratic_lags_1_sinusoidal_no,0.687,0.0,620.095,626.429,True,True,False,0.858,0.594,0,1.739,1.775,0.382,,,1.037,0.342,,,,
Maize_yearly_True_window_3_lags_none_sinusoidal_yes_quadratic,True,3,quadratic_lags_none_sinusoidal_yes,0.65,0.0,643.661,651.715,True,True,False,0.878,0.507,0,1.752,1.891,0.735,,,,,1.003,1.135,0.096,0.671
Maize_yearly_True_window_3_lags_0_sinusoidal_yes_quadratic,True,3,quadratic_lags_0_sinusoidal_yes,0.691,0.0,641.046,650.712,True,True,False,1.137,0.569,0,1.764,1.92,0.493,1.057,0.062,,,1.002,1.098,0.069,0.944
Maize_yearly_True_window_3_lags_1_sinusoidal_yes_quadratic,True,3,quadratic_lags_1_sinusoidal_yes,0.72,0.0,620.044,629.545,True,True,False,0.912,0.605,0,1.806,1.937,0.594,,,1.04,0.273,1.003,1.088,0.071,0.721
Maize_yearly_False_window_4_lags_none_sinusoidal_no_quadratic,False,4,quadratic_lags_none_sinusoidal_no,0.39,0.0,1238.616,1245.318,False,True,False,0.692,0.352,0,1.845,1.845,0.032,,,,,,,,
Maize_yearly_False_window_4_lags_0_sinusoidal_no_quadratic,False,4,quadratic_lags_0_sinusoidal_no,0.399,0.0,1239.585,1248.522,False,True,False,0.772,0.276,0,1.849,1.853,0.027,1.004,0.326,,,,,,
Maize_yearly_False_window_4_lags_1_sinusoidal_no_quadratic,False,4,quadratic_lags_1_sinusoidal_no,0.427,0.0,1216.503,1225.381,False,True,False,0.782,0.415,0,1.88,1.889,0.011,,,1.009,0.712,,,,
Maize_yearly_False_window_4_lags_none_sinusoidal_yes_quadratic,False,4,quadratic_lags_none_sinusoidal_yes,0.42,0.0,1239.186,1250.357,False,True,False,0.739,0.337,0,1.856,1.868,0.021,,,,,1.005,1.007,0.088,0.608
Maize_yearly_False_window_4_lags_0_sinusoidal_yes_quadratic,False,4,quadratic_lags_0_sinusoidal_yes,0.425,0.0,1240.573,1253.978,False,True,False,0.796,0.198,0,1.857,1.872,0.02,1.005,0.321,,,1.005,1.005,0.105,0.74
Maize_yearly_False_window_4_lags_1_sinusoidal_yes_quadratic,False,4,quadratic_lags_1_sinusoidal_yes,0.45,0.0,1217.778,1231.095,False,True,False,0.827,0.384,0,1.887,1.904,0.008,,,1.01,0.737,1.005,1.002,0.118,0.903
Maize_yearly_True_window_4_lags_none_sinusoidal_no_quadratic,True,4,quadratic_lags_none_sinusoidal_no,0.59,0.0,639.219,644.052,True,True,False,0.703,0.467,0,1.81,1.81,0.836,,,,,,,,
Maize_yearly_True_window_4_lags_0_sinusoidal_no_quadratic,True,4,quadratic_lags_0_sinusoidal_no,0.635,0.0,636.886,643.329,True,True,False,0.859,0.063,0,1.829,1.854,0.59,1.024,0.051,,,,,,
Maize_yearly_True_window_4_lags_1_sinusoidal_no_quadratic,True,4,quadratic_lags_1_sinusoidal_no,0.702,0.0,611.535,617.869,True,True,False,0.824,0.655,0,1.905,1.913,0.388,,,1.008,0.376,,,,
Maize_yearly_True_window_4_lags_none_sinusoidal_yes_quadratic,True,4,quadratic_lags_none_sinusoidal_yes,0.637,0.0,638.712,646.766,True,True,False,0.805,0.324,0,1.96,2.145,0.624,,,,,1.036,1.149,0.05,0.973
Maize_yearly_True_window_4_lags_0_sinusoidal_yes_quadratic,True,4,quadratic_lags_0_sinusoidal_yes,0.682,0.0,635.856,645.522,True,True,False,0.977,-0.021,0,1.963,2.153,0.516,1.028,0.043,,,1.033,1.128,0.048,0.674
Maize_yearly_True_window_4_lags_1_sinusoidal_yes_quadratic,True,4,quadratic_lags_1_sinusoidal_yes,0.75,0.0,609.09,618.591,True,True,False,0.929,0.71,0,2.015,2.146,0.422,,,1.009,0.266,1.026,1.095,0.038,0.309
Maize_yearly_False_window_5_lags_none_sinusoidal_no_quadratic,False,5,quadratic_lags_none_sinusoidal_no,0.494,0.0,1211.654,1218.357,True,True,False,0.57,0.467,0,2.052,2.052,0.037,,,,,,,,
