analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.054,0.852,500.857,504.854,True,True,False,0.354,-0.573,0,1.0,1.0,0.251,,,,,,
Croplands_cluster_2_yearly_True_window_7_lags_5_sinusoidal_no_linear,True,7,linear_lags_5_sinusoidal_no,0.128,0.107,447.114,450.648,False,True,False,0.253,0.067,0,1.0,,,1.0,0.1,,,,
Croplands_cluster_2_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.008,0.946,521.638,527.107,False,True,False,0.204,-1.007,0,1.0,,,,,1.0,1.0,0.932,0.671
Croplands_cluster_2_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.057,0.829,504.765,511.426,True,True,False,0.355,-0.765,0,1.0,1.0,0.266,,,1.0,1.0,0.98,0.786
Croplands_cluster_2_yearly_True_window_7_lags_5_sinusoidal_yes_linear,True,7,linear_lags_5_sinusoidal_yes,0.15,0.1,450.508,456.399,False,True,False,0.294,-0.086,0,1.0,,,1.0,0.096,1.0,1.0,0.666,0.591
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.004,0.587,1247.606,1252.074,False,True,False,0.245,-0.0,0,1.0,,,,,,,,
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.005,0.581,1231.581,1238.24,False,True,False,0.247,-0.035,0,1.0,1.0,0.82,,,,,,
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_no_linear,False,8,linear_lags_5_sinusoidal_no,0.002,0.719,1165.713,1172.19,False,True,False,0.237,-0.1,0,1.0,,,1.0,0.873,,,,
Croplands_cluster_2_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.055,0.44,1248.022,1256.958,False,True,False,0.302,-0.001,0,1.0,,,,,1.0,1.0,0.078,0.605
Croplands_cluster_2_yearly_False_window_8_lags_1_sinusoidal_yes_linear,False,8,linear_lags_1_sinusoidal_yes,0.059,0.456,1231.807,1242.904,True,True,False,0.305,-0.058,0,1.0,1.0,0.78,,,1.0,1.0,0.083,0.478
Croplands_cluster_2_yearly_False_window_8_lags_5_sinusoidal_yes_linear,False,8,linear_lags_5_sinusoidal_yes,0.057,0.69,1166.106,1176.9,False,True,False,0.294,-0.133,0,1.0,,,1.0,0.854,1.0,1.0,0.098,0.443
