analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_1_yearly_True_window_1_lags_3_sinusoidal_yes_linear,True,1,linear_lags_3_sinusoidal_yes,0.856,0.11,105.012,105.998,True,True,True,1.522,0.302,0,1.0,,,1.0,0.265,,,1.0,1.0,0.133,0.378
CPER-Cluster_1_yearly_True_window_1_lags_4_sinusoidal_yes_linear,True,1,linear_lags_4_sinusoidal_yes,0.888,0.03,92.08,92.478,True,True,False,3.113,-0.141,0,1.0,,,,,1.0,0.051,1.0,1.0,0.927,0.169
CPER-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_no_linear,False,2,linear_lags_none_sinusoidal_no,0.466,0.015,140.421,141.391,True,True,False,0.604,0.439,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_2_lags_2_sinusoidal_no_linear,False,2,linear_lags_2_sinusoidal_no,0.783,0.046,103.325,104.233,True,True,True,1.782,0.18,0,1.0,1.0,0.768,,,,,,,,
CPER-Cluster_1_yearly_False_window_2_lags_3_sinusoidal_no_linear,False,2,linear_lags_3_sinusoidal_no,0.76,0.069,95.038,95.63,True,True,True,1.618,0.426,0,1.0,,,1.0,0.823,,,,,,
CPER-Cluster_1_yearly_False_window_2_lags_4_sinusoidal_no_linear,False,2,linear_lags_4_sinusoidal_no,0.747,0.025,80.22,80.459,True,False,True,1.952,0.359,0,1.0,,,,,1.0,0.138,,,,
CPER-Cluster_1_yearly_False_window_2_lags_none_sinusoidal_yes_linear,False,2,linear_lags_none_sinusoidal_yes,0.493,0.03,143.796,145.736,True,True,False,0.682,0.164,0,1.0,,,,,,,1.0,1.0,0.67,0.657
CPER-Cluster_1_yearly_False_window_2_lags_2_sinusoidal_yes_linear,False,2,linear_lags_2_sinusoidal_yes,0.817,0.084,105.598,107.111,True,True,True,2.138,-1.653,0,1.0,1.0,0.858,,,,,1.0,1.0,0.471,0.614
CPER-Cluster_1_yearly_False_window_2_lags_3_sinusoidal_yes_linear,False,2,linear_lags_3_sinusoidal_yes,0.801,0.149,97.332,98.318,True,True,True,1.925,-0.883,0,1.0,,,1.0,0.855,,,1.0,1.0,0.51,0.654
CPER-Cluster_1_yearly_False_window_2_lags_4_sinusoidal_yes_linear,False,2,linear_lags_4_sinusoidal_yes,0.98,0.003,63.833,64.23,True,True,True,1.609,0.804,0,1.0,,,,,1.0,0.008,1.0,1.0,0.478,0.014
CPER-Cluster_1_yearly_True_window_2_lags_none_sinusoidal_no_linear,True,2,linear_lags_none_sinusoidal_no,0.466,0.015,140.421,141.391,True,True,False,0.604,0.439,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_True_window_2_lags_2_sinusoidal_no_linear,True,2,linear_lags_2_sinusoidal_no,0.783,0.046,103.325,104.233,True,True,True,1.782,0.18,0,1.0,1.0,0.768,,,,,,,,
CPER-Cluster_1_yearly_True_window_2_lags_3_sinusoidal_no_linear,True,2,linear_lags_3_sinusoidal_no,0.76,0.069,95.038,95.63,True,True,True,1.618,0.426,0,1.0,,,1.0,0.823,,,,,,
CPER-Cluster_1_yearly_True_window_2_lags_4_sinusoidal_no_linear,True,2,linear_lags_4_sinusoidal_no,0.747,0.025,80.22,80.459,True,False,True,1.952,0.359,0,1.0,,,,,1.0,0.138,,,,
CPER-Cluster_1_yearly_True_window_2_lags_none_sinusoidal_yes_linear,True,2,linear_lags_none_sinusoidal_yes,0.493,0.03,143.796,145.736,True,True,False,0.682,0.164,0,1.0,,,,,,,1.0,1.0,0.67,0.657
CPER-Cluster_1_yearly_True_window_2_lags_2_sinusoidal_yes_linear,True,2,linear_lags_2_sinusoidal_yes,0.817,0.084,105.598,107.111,True,True,True,2.138,-1.653,0,1.0,1.0,0.858,,,,,1.0,1.0,0.471,0.614
CPER-Cluster_1_yearly_True_window_2_lags_3_sinusoidal_yes_linear,True,2,linear_lags_3_sinusoidal_yes,0.801,0.149,97.332,98.318,True,True,True,1.925,-0.883,0,1.0,,,1.0,0.855,,,1.0,1.0,0.51,0.654
CPER-Cluster_1_yearly_True_window_2_lags_4_sinusoidal_yes_linear,True,2,linear_lags_4_sinusoidal_yes,0.98,0.003,63.833,64.23,True,True,True,1.609,0.804,0,1.0,,,,,1.0,0.008,1.0,1.0,0.478,0.014
CPER-Cluster_1_yearly_False_window_3_lags_none_sinusoidal_no_linear,False,3,linear_lags_none_sinusoidal_no,0.608,0.003,133.801,134.771,True,True,False,0.876,0.512,0,1.0,,,,,,,,,,
CPER-Cluster_1_yearly_False_window_3_lags_2_sinusoidal_no_linear,False,3,linear_lags_2_sinusoidal_no,0.78,0.008,99.736,100.643,True,True,True,2.393,-0.277,0,1.0,1.0,0.668,,,,,,,,
CPER-Cluster_1_yearly_False_window_3_lags_3_sinusoidal_no_linear,False,3,linear_lags_3_sinusoidal_no,0.596,0.187,91.753,92.344,True,True,False,2.52,0.014,0,1.0,,,1.0,0.881,,,,,,
CPER-Cluster_1_yearly_False_window_3_lags_4_sinusoidal_no_linear,False,3,linear_lags_4_sinusoidal_no,0.788,0.018,79.482,79.72,True,True,True,2.459,0.393,0,1.0,,,,,1.0,0.18,,,,
