analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_5_lags_none_sinusoidal_yes_quadratic,True,5,quadratic_lags_none_sinusoidal_yes,0.41,0.632,381.392,386.847,True,True,False,0.783,-0.114,0,2.459,3.037,0.779,,,,,,,1.544,1.034,0.031,0.538
Croplands_cluster_1_yearly_True_window_5_lags_1_sinusoidal_yes_quadratic,True,5,quadratic_lags_1_sinusoidal_yes,0.575,0.97,360.296,366.563,True,True,False,1.017,-0.113,0,2.21,2.797,0.705,1.003,0.049,,,,,1.528,1.056,0.027,0.107
Croplands_cluster_1_yearly_True_window_5_lags_2_sinusoidal_yes_quadratic,True,5,quadratic_lags_2_sinusoidal_yes,0.754,0.193,333.605,339.58,True,True,False,1.26,-0.165,0,2.068,2.54,0.739,,,1.02,0.001,,,1.357,1.095,0.001,0.012
Croplands_cluster_1_yearly_True_window_5_lags_6_sinusoidal_yes_quadratic,True,5,quadratic_lags_6_sinusoidal_yes,0.943,0.007,251.696,256.332,True,True,True,1.893,0.747,0,2.191,2.677,0.453,,,,,1.066,0.526,1.037,1.384,0.0,0.318
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_no_quadratic,False,6,quadratic_lags_none_sinusoidal_no,0.009,0.61,989.424,995.391,True,True,False,0.393,-0.033,0,1.741,1.741,0.546,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_no_quadratic,False,6,quadratic_lags_1_sinusoidal_no,0.02,0.683,972.602,980.483,True,True,False,0.451,-0.189,0,1.8,1.834,0.563,1.034,0.424,,,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_2_sinusoidal_no_quadratic,False,6,quadratic_lags_2_sinusoidal_no,0.008,0.972,958.808,966.613,True,True,False,0.392,-0.16,0,1.862,1.916,0.757,,,1.054,0.572,,,,,,
Croplands_cluster_1_yearly_False_window_6_lags_6_sinusoidal_no_quadratic,False,6,quadratic_lags_6_sinusoidal_no,0.017,0.538,908.807,916.292,False,True,False,0.368,-0.191,0,1.863,1.877,0.749,,,,,1.014,0.475,,,,
Croplands_cluster_1_yearly_False_window_6_lags_none_sinusoidal_yes_quadratic,False,6,quadratic_lags_none_sinusoidal_yes,0.225,0.118,980.105,990.05,True,True,False,0.627,0.032,0,1.908,2.133,0.032,,,,,,,1.183,1.042,0.001,0.713
Croplands_cluster_1_yearly_False_window_6_lags_1_sinusoidal_yes_quadratic,False,6,quadratic_lags_1_sinusoidal_yes,0.228,0.153,963.953,975.775,True,True,False,0.668,-0.031,0,1.991,2.271,0.034,1.042,0.312,,,,,1.19,1.048,0.001,0.945
