analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag0,p_value_lag0,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Maize_yearly_False_window_2_lags_1_sinusoidal_yes_piecewise,False,2,piecewise_lags_1_sinusoidal_yes,0.219,0.002,1278.542,1291.859,True,True,False,1.096,0.056,0,2.21,2.369,0.076,786.713487,,,1.156,0.605,1.0,1.002,0.432,0.905
Maize_yearly_True_window_2_lags_none_sinusoidal_no_piecewise,True,2,piecewise_lags_none_sinusoidal_no,0.445,0.0,670.499,675.332,True,True,False,1.113,0.258,0,1.173,1.173,0.455,890.6735174125253,,,,,,,,
Maize_yearly_True_window_2_lags_0_sinusoidal_no_piecewise,True,2,piecewise_lags_0_sinusoidal_no,0.596,0.0,660.754,667.198,True,True,True,1.607,0.446,0,1.173,1.174,0.373,890.6735174125253,1.001,0.001,,,,,,
Maize_yearly_True_window_2_lags_1_sinusoidal_no_piecewise,True,2,piecewise_lags_1_sinusoidal_no,0.602,0.0,638.09,644.424,True,True,False,1.395,0.457,0,2.047,2.15,0.069,783.5025201111112,,,1.104,0.076,,,,
Maize_yearly_True_window_2_lags_none_sinusoidal_yes_piecewise,True,2,piecewise_lags_none_sinusoidal_yes,0.477,0.0,672.298,680.353,True,True,False,1.205,0.221,0,1.18,1.224,0.405,890.6735174125253,,,,,1.004,1.039,0.194,0.655
Maize_yearly_True_window_2_lags_0_sinusoidal_yes_piecewise,True,2,piecewise_lags_0_sinusoidal_yes,0.616,0.0,662.809,672.475,True,True,True,1.695,0.421,0,1.18,1.224,0.386,890.6735174125253,1.001,0.001,,,1.004,1.038,0.206,0.967
Maize_yearly_True_window_2_lags_1_sinusoidal_yes_piecewise,True,2,piecewise_lags_1_sinusoidal_yes,0.635,0.0,638.92,648.422,True,True,True,1.522,0.413,0,2.115,2.291,0.116,783.5025201111112,,,1.111,0.059,1.027,1.038,0.171,0.362
Maize_yearly_False_window_3_lags_none_sinusoidal_no_piecewise,False,3,piecewise_lags_none_sinusoidal_no,0.266,0.0,1266.868,1273.571,False,True,False,0.874,0.056,0,1.231,1.231,0.104,938.7711152103703,,,,,,,,
Maize_yearly_False_window_3_lags_0_sinusoidal_no_piecewise,False,3,piecewise_lags_0_sinusoidal_no,0.294,0.0,1266.268,1275.204,False,True,False,0.964,0.074,0,1.232,1.234,0.114,938.7711152103703,1.002,0.119,,,,,,
Maize_yearly_False_window_3_lags_1_sinusoidal_no_piecewise,False,3,piecewise_lags_1_sinusoidal_no,0.278,0.0,1248.627,1257.505,False,True,False,0.902,0.2,0,1.26,1.306,0.083,935.4904859684848,,,1.046,0.829,,,,
