analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_quadratic,p_value_quadratic,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_no_quadratic,True,9,quadratic_lags_1_sinusoidal_no,0.184,0.304,497.494,502.823,False,True,False,0.539,-0.997,0,1.74,1.805,0.06,1.065,0.072,,,,,,
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_no_quadratic,True,9,quadratic_lags_5_sinusoidal_no,0.232,0.062,441.198,445.91,True,True,False,0.541,-0.006,0,1.979,1.984,0.051,,,1.004,0.076,,,,
Croplands_cluster_2_yearly_True_window_9_lags_none_sinusoidal_yes_quadratic,True,9,quadratic_lags_none_sinusoidal_yes,0.087,0.707,520.144,526.981,False,True,False,0.311,-0.797,0,1.758,1.929,0.176,,,,,1.029,1.142,0.752,0.988
Croplands_cluster_2_yearly_True_window_9_lags_1_sinusoidal_yes_quadratic,True,9,quadratic_lags_1_sinusoidal_yes,0.193,0.322,501.175,509.168,False,True,False,0.577,-1.397,0,1.879,2.144,0.063,1.077,0.077,,,1.012,1.176,0.92,0.625
Croplands_cluster_2_yearly_True_window_9_lags_5_sinusoidal_yes_quadratic,True,9,quadratic_lags_5_sinusoidal_yes,0.258,0.071,444.375,451.443,True,True,False,0.618,-0.329,0,2.143,2.316,0.055,,,1.005,0.086,1.049,1.119,0.44,0.913
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_no_quadratic,False,10,quadratic_lags_none_sinusoidal_no,0.035,0.572,1241.681,1248.383,False,False,False,0.161,-0.008,0,1.896,1.896,0.147,,,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_no_quadratic,False,10,quadratic_lags_1_sinusoidal_no,0.038,0.504,1226.453,1235.331,False,False,False,0.159,-0.233,0,1.919,1.925,0.172,1.005,0.588,,,,,,
Croplands_cluster_2_yearly_False_window_10_lags_5_sinusoidal_no_quadratic,False,10,quadratic_lags_5_sinusoidal_no,0.024,0.513,1159.225,1167.86,False,False,False,0.153,-0.032,0,2.085,2.086,0.328,,,1.0,0.428,,,,
Croplands_cluster_2_yearly_False_window_10_lags_none_sinusoidal_yes_quadratic,False,10,quadratic_lags_none_sinusoidal_yes,0.124,0.33,1238.992,1250.163,True,False,False,0.238,0.03,0,1.971,2.055,0.034,,,,,1.083,1.001,0.016,0.526
Croplands_cluster_2_yearly_False_window_10_lags_1_sinusoidal_yes_quadratic,False,10,quadratic_lags_1_sinusoidal_yes,0.123,0.322,1224.131,1237.448,True,False,False,0.233,-0.23,0,2.006,2.105,0.043,1.006,0.559,,,1.094,1.0,0.021,0.491
Croplands_cluster_2_yearly_False_window_10_lags_5_sinusoidal_yes_quadratic,False,10,quadratic_lags_5_sinusoidal_yes,0.106,0.405,1157.584,1170.538,False,False,False,0.224,-0.013,0,2.245,2.392,0.088,,,1.0,0.363,1.146,1.001,0.03,0.534
Croplands_cluster_2_yearly_True_window_10_lags_none_sinusoidal_no_quadratic,True,10,quadratic_lags_none_sinusoidal_no,0.127,0.722,511.264,515.366,False,True,False,0.227,-0.236,0,1.582,1.582,0.082,,,,,,,,
Croplands_cluster_2_yearly_True_window_10_lags_1_sinusoidal_no_quadratic,True,10,quadratic_lags_1_sinusoidal_no,0.162,0.494,494.589,499.918,False,True,False,0.298,-1.05,0,1.622,1.622,0.086,1.0,0.195,,,,,,
Croplands_cluster_2_yearly_True_window_10_lags_5_sinusoidal_no_quadratic,True,10,quadratic_lags_5_sinusoidal_no,0.21,0.103,440.803,445.516,True,True,False,0.339,0.065,0,1.894,1.896,0.064,,,1.001,0.133,,,,
Croplands_cluster_2_yearly_True_window_10_lags_none_sinusoidal_yes_quadratic,True,10,quadratic_lags_none_sinusoidal_yes,0.153,0.613,514.404,521.241,False,True,False,0.225,-0.768,0,1.703,1.911,0.067,,,,,1.17,1.038,0.428,0.817
Croplands_cluster_2_yearly_True_window_10_lags_1_sinusoidal_yes_quadratic,True,10,quadratic_lags_1_sinusoidal_yes,0.178,0.472,498.025,506.019,False,False,False,0.315,-1.023,0,1.724,1.888,0.079,1.0,0.203,,,1.129,1.035,0.511,0.996
Croplands_cluster_2_yearly_True_window_10_lags_5_sinusoidal_yes_quadratic,True,10,quadratic_lags_5_sinusoidal_yes,0.343,0.076,440.393,447.462,True,False,False,0.523,-0.067,0,2.231,2.609,0.015,,,1.002,0.1,1.367,1.009,0.078,0.78
