analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_yearly_False_window_8_lags_3_sinusoidal_no_spline,False,8,spline_lags_3_sinusoidal_no,0.135,0.0,3105.307,3124.227,False,False,False,0.87,0.084,0,1.0,1.0,1.028,1.012,0.267,0.121,0.778,"[np.float64(524.5862999999999), np.float64(712.074209), np.float64(794.049874), np.float64(862.71725), np.float64(1016.559698775)]",,,,,1.04,0.489,,,,,,,,
Croplands_yearly_False_window_8_lags_4_sinusoidal_no_spline,False,8,spline_lags_4_sinusoidal_no,0.341,0.0,2972.244,2991.129,False,False,False,0.595,0.303,0,1.0,1.001,1.037,1.001,0.038,0.567,0.556,"[np.float64(524.5862999999999), np.float64(711.959616), np.float64(793.33335), np.float64(848.705444), np.float64(1016.559698775)]",,,,,,,1.04,0.571,,,,,,
Croplands_yearly_False_window_8_lags_5_sinusoidal_no_spline,False,8,spline_lags_5_sinusoidal_no,0.144,0.0,3069.642,3088.492,False,False,False,0.845,0.074,0,1.0,1.006,1.057,1.003,0.185,0.185,0.213,"[np.float64(524.5862999999999), np.float64(711.773549), np.float64(792.394125), np.float64(846.199226), np.float64(1016.559698775)]",,,,,,,,,1.066,0.678,,,,
Croplands_yearly_False_window_8_lags_none_sinusoidal_yes_spline,False,8,spline_lags_none_sinusoidal_yes,0.338,0.0,3040.028,3062.222,False,False,False,0.586,0.294,0,1.0,1.173,1.097,1.006,0.078,0.476,0.922,"[np.float64(524.5862999999999), np.float64(713.698137), np.float64(794.181), np.float64(846.571686), np.float64(1016.559698775)]",,,,,,,,,,,1.106,1.17,0.498,0.626
Croplands_yearly_False_window_8_lags_1_sinusoidal_yes_spline,False,8,spline_lags_1_sinusoidal_yes,0.341,0.0,3024.86,3050.178,False,False,False,0.58,0.287,0,1.0,1.171,1.113,1.002,0.079,0.454,0.51,"[np.float64(524.5862999999999), np.float64(712.815454), np.float64(794.312126), np.float64(849.496002), np.float64(1016.559698775)]",1.008,0.964,,,,,,,,,1.107,1.17,0.51,0.569
Croplands_yearly_False_window_8_lags_2_sinusoidal_yes_spline,False,8,spline_lags_2_sinusoidal_yes,0.353,0.0,3007.984,3033.257,False,False,False,0.58,0.283,0,1.0,1.175,1.129,1.017,0.068,0.59,0.306,"[np.float64(524.5862999999999), np.float64(712.188802), np.float64(794.181), np.float64(850.345323), np.float64(1016.559698775)]",,,1.014,0.666,,,,,,,1.119,1.188,0.676,0.503
Croplands_yearly_False_window_8_lags_3_sinusoidal_yes_spline,False,8,spline_lags_3_sinusoidal_yes,0.145,0.0,3107.126,3132.352,False,False,False,0.872,0.061,0,1.0,1.159,1.185,1.017,0.401,0.095,0.843,"[np.float64(524.5862999999999), np.float64(712.074209), np.float64(794.049874), np.float64(862.71725), np.float64(1016.559698775)]",,,,,1.044,0.435,,,,,1.118,1.199,0.292,0.374
Croplands_yearly_False_window_8_lags_4_sinusoidal_yes_spline,False,8,spline_lags_4_sinusoidal_yes,0.343,0.0,2975.664,3000.844,False,False,False,0.595,0.285,0,1.0,1.17,1.206,1.017,0.063,0.495,0.628,"[np.float64(524.5862999999999), np.float64(711.959616), np.float64(793.33335), np.float64(848.705444), np.float64(1016.559698775)]",,,,,,,1.044,0.607,,,1.146,1.204,0.552,0.698
Croplands_yearly_False_window_8_lags_5_sinusoidal_yes_spline,False,8,spline_lags_5_sinusoidal_yes,0.152,0.0,3072.021,3097.154,False,False,False,0.849,0.006,0,1.0,1.179,1.26,1.018,0.28,0.146,0.274,"[np.float64(524.5862999999999), np.float64(711.773549), np.float64(792.394125), np.float64(846.199226), np.float64(1016.559698775)]",,,,,,,,,1.073,0.638,1.163,1.221,0.353,0.467
Croplands_yearly_True_window_8_lags_none_sinusoidal_no_spline,True,8,spline_lags_none_sinusoidal_no,0.644,0.0,604.666,612.984,False,False,False,0.253,0.319,0,1.0,1.0,1.0,1.0,0.073,0.767,0.32,"[np.float64(638.3351089583333), np.float64(724.866461), np.float64(769.050919), np.float64(819.036878), np.float64(893.8250020381548)]",,,,,,,,,,,,,,
Croplands_yearly_True_window_8_lags_1_sinusoidal_no_spline,True,8,spline_lags_1_sinusoidal_no,0.767,0.0,575.262,585.088,True,False,False,0.883,0.665,0,1.0,1.02,1.0,1.024,0.002,0.521,0.187,"[np.float64(638.3351089583333), np.float64(715.705828), np.float64(764.934598), np.float64(815.77081), np.float64(893.8250020381547)]",1.044,0.001,,,,,,,,,,,,
Croplands_yearly_True_window_8_lags_2_sinusoidal_no_spline,True,8,spline_lags_2_sinusoidal_no,0.834,0.0,549.943,559.609,True,False,False,0.637,0.73,0,1.0,1.001,1.0,1.025,0.005,0.019,0.181,"[np.float64(638.3351089583333), np.float64(714.719634), np.float64(743.182273), np.float64(799.905024), np.float64(893.8250020381548)]",,,1.026,0.0,,,,,,,,,,
Croplands_yearly_True_window_8_lags_3_sinusoidal_no_spline,True,8,spline_lags_3_sinusoidal_no,0.812,0.0,541.615,551.116,True,False,False,0.836,0.713,0,1.0,1.105,1.035,1.004,0.116,0.006,0.051,"[np.float64(636.3920836833333), np.float64(696.830293), np.float64(737.253732), np.float64(817.900762), np.float64(893.8250020381548)]",,,,,1.143,0.0,,,,,,,,
Croplands_yearly_True_window_8_lags_4_sinusoidal_no_spline,True,8,spline_lags_4_sinusoidal_no,0.752,0.0,536.574,545.906,True,False,False,0.347,0.542,0,1.0,1.035,1.003,1.005,0.119,0.092,0.833,"[np.float64(638.3351089583333), np.float64(709.982397), np.float64(766.110683), np.float64(819.036878), np.float64(893.8250020381548)]",,,,,,,1.042,0.001,,,,,,
Croplands_yearly_True_window_8_lags_5_sinusoidal_no_spline,True,8,spline_lags_5_sinusoidal_no,0.809,0.0,512.832,521.99,True,False,False,0.549,0.735,0,1.0,1.064,1.013,1.006,0.052,0.218,0.876,"[np.float64(638.3351089583333), np.float64(716.208544), np.float64(759.656307), np.float64(820.172994), np.float64(893.8250020381547)]",,,,,,,,,1.083,0.0,,,,
Croplands_yearly_True_window_8_lags_none_sinusoidal_yes_spline,True,8,spline_lags_none_sinusoidal_yes,0.659,0.0,606.968,618.613,True,False,False,0.281,0.327,0,1.0,1.029,1.12,1.091,0.05,0.457,0.508,"[np.float64(638.3351089583333), np.float64(724.866461), np.float64(769.050919), np.float64(819.036878), np.float64(893.8250020381548)]",,,,,,,,,,,1.152,1.089,0.255,0.69
Croplands_yearly_True_window_8_lags_1_sinusoidal_yes_spline,True,8,spline_lags_1_sinusoidal_yes,0.769,0.0,578.906,592.007,True,False,False,0.9,0.628,0,1.0,1.029,1.116,1.08,0.002,0.465,0.172,"[np.float64(638.3351089583333), np.float64(715.705828), np.float64(764.934598), np.float64(815.77081), np.float64(893.8250020381547)]",1.047,0.001,,,,,,,,,1.151,1.028,0.628,0.846
Croplands_yearly_True_window_8_lags_2_sinusoidal_yes_spline,True,8,spline_lags_2_sinusoidal_yes,0.834,0.0,553.933,566.821,True,False,False,0.637,0.649,0,1.0,1.014,1.154,1.044,0.007,0.034,0.196,"[np.float64(638.3351089583333), np.float64(714.719634), np.float64(743.182273), np.float64(799.905024), np.float64(893.8250020381548)]",,,1.027,0.0,,,,,,,1.151,1.034,0.938,0.973
Croplands_yearly_True_window_8_lags_3_sinusoidal_yes_spline,True,8,spline_lags_3_sinusoidal_yes,0.824,0.0,543.269,555.937,True,True,False,0.833,0.715,0,1.0,1.115,1.252,1.04,0.087,0.003,0.083,"[np.float64(636.3920836833333), np.float64(696.830293), np.float64(737.253732), np.float64(817.900762), np.float64(893.8250020381548)]",,,,,1.148,0.0,,,,,1.228,1.031,0.214,0.593
Croplands_yearly_True_window_8_lags_4_sinusoidal_yes_spline,True,8,spline_lags_4_sinusoidal_yes,0.775,0.001,537.137,549.58,True,False,False,0.399,0.502,0,1.0,1.131,1.115,1.046,0.053,0.04,0.948,"[np.float64(638.3351089583333), np.float64(709.982397), np.float64(766.110683), np.float64(819.036878), np.float64(893.8250020381548)]",,,,,,,1.045,0.001,,,1.219,1.027,0.132,0.534
Croplands_yearly_True_window_8_lags_5_sinusoidal_yes_spline,True,8,spline_lags_5_sinusoidal_yes,0.826,0.0,513.585,525.796,True,False,False,0.611,0.74,0,1.0,1.096,1.25,1.429,0.029,0.076,0.866,"[np.float64(638.3351089583333), np.float64(716.208544), np.float64(759.656307), np.float64(820.172994), np.float64(893.8250020381547)]",,,,,,,,,1.095,0.0,1.273,1.407,0.186,0.401
Croplands_yearly_False_window_9_lags_none_sinusoidal_no_spline,False,9,spline_lags_none_sinusoidal_no,0.368,0.0,3011.95,3027.802,False,False,False,0.483,0.349,0,1.0,1.0,1.0,1.0,0.016,0.66,0.601,"[np.float64(547.2989333333334), np.float64(715.798557), np.float64(793.932833), np.float64(846.1795), np.float64(1028.0749543555555)]",,,,,,,,,,,,,,
Croplands_yearly_False_window_9_lags_1_sinusoidal_no_spline,False,9,spline_lags_1_sinusoidal_no,0.37,0.0,2997.344,3016.333,False,False,False,0.501,0.328,0,1.0,1.0,1.007,1.0,0.015,0.641,0.781,"[np.float64(547.2989333333333), np.float64(715.469891), np.float64(793.898111), np.float64(848.19371), np.float64(1028.0749543555555)]",1.008,0.389,,,,,,,,,,,,
