analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER-Cluster_2_yearly_False_window_3_lags_4_sinusoidal_yes_piecewise,False,3,piecewise_lags_4_sinusoidal_yes,0.801,0.102,106.438,108.253,True,True,True,2.015,-3.645,0,6.31,8.81,0.115,297.82191925791244,,,,,3.152,0.073,,,,,1.227,1.12,0.305,0.126
CPER-Cluster_2_yearly_False_window_3_lags_5_sinusoidal_yes_piecewise,False,3,piecewise_lags_5_sinusoidal_yes,0.823,0.838,87.875,89.059,True,True,True,1.532,-1.63,0,3.254,5.51,0.484,316.7157962,,,,,,,2.453,0.212,,,1.125,1.677,0.423,0.337
CPER-Cluster_2_yearly_False_window_3_lags_6_sinusoidal_yes_piecewise,False,3,piecewise_lags_6_sinusoidal_yes,0.873,0.985,80.842,81.319,True,True,False,3.425,-4.4,0,2.812,6.441,0.336,326.1551624627273,,,,,,,,,4.505,0.566,1.001,1.124,0.293,0.642
CPER-Cluster_2_yearly_True_window_3_lags_none_sinusoidal_no_piecewise,True,3,piecewise_lags_none_sinusoidal_no,0.477,0.59,145.249,147.166,True,True,True,1.829,-0.536,0,2.998,2.998,0.267,294.1409178583165,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_2_sinusoidal_no_piecewise,True,3,piecewise_lags_2_sinusoidal_no,0.688,0.506,122.402,124.342,True,True,False,1.274,-1.601,0,5.777,7.587,0.615,293.8668559092256,2.81,0.068,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_3_sinusoidal_no_piecewise,True,3,piecewise_lags_3_sinusoidal_no,0.553,0.705,119.038,120.629,True,True,False,1.262,-1.014,0,7.577,10.885,0.477,292.26636705050504,,,4.308,0.662,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_4_sinusoidal_no_piecewise,True,3,piecewise_lags_4_sinusoidal_no,0.596,0.363,109.498,110.708,True,True,False,1.297,-2.17,0,4.94,6.538,0.277,297.82191925791244,,,,,2.597,0.228,,,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_5_sinusoidal_no_piecewise,True,3,piecewise_lags_5_sinusoidal_no,0.587,0.138,91.503,92.292,True,True,False,1.234,-0.271,0,2.251,3.057,0.383,316.7157962,,,,,,,1.806,0.288,,,,,,
CPER-Cluster_2_yearly_True_window_3_lags_6_sinusoidal_no_piecewise,True,3,piecewise_lags_6_sinusoidal_no,0.74,0.227,82.602,82.92,True,True,True,2.081,0.339,0,2.61,5.726,0.344,326.1551624627273,,,,,,,,,4.115,0.301,,,,
CPER-Cluster_2_yearly_True_window_3_lags_none_sinusoidal_yes_piecewise,True,3,piecewise_lags_none_sinusoidal_yes,0.622,0.168,144.706,147.901,True,True,True,1.941,-1.569,0,4.713,5.571,0.091,294.1409178583165,,,,,,,,,,,1.008,1.851,0.481,0.125
CPER-Cluster_2_yearly_True_window_3_lags_2_sinusoidal_yes_piecewise,True,3,piecewise_lags_2_sinusoidal_yes,0.936,0.946,107.415,110.325,True,True,False,2.661,0.436,0,7.046,9.602,0.149,293.8668559092256,3.29,0.144,,,,,,,,,1.188,1.078,0.757,0.005
CPER-Cluster_2_yearly_True_window_3_lags_3_sinusoidal_yes_piecewise,True,3,piecewise_lags_3_sinusoidal_yes,0.62,0.575,121.249,123.637,True,True,False,1.178,-12.948,0,7.653,11.011,0.405,292.26636705050504,,,4.346,0.643,,,,,,,1.009,1.002,0.881,0.404
CPER-Cluster_2_yearly_True_window_3_lags_4_sinusoidal_yes_piecewise,True,3,piecewise_lags_4_sinusoidal_yes,0.801,0.102,106.438,108.253,True,True,True,2.015,-3.645,0,6.31,8.81,0.115,297.82191925791244,,,,,3.152,0.073,,,,,1.227,1.12,0.305,0.126
CPER-Cluster_2_yearly_True_window_3_lags_5_sinusoidal_yes_piecewise,True,3,piecewise_lags_5_sinusoidal_yes,0.823,0.838,87.875,89.059,True,True,True,1.532,-1.63,0,3.254,5.51,0.484,316.7157962,,,,,,,2.453,0.212,,,1.125,1.677,0.423,0.337
CPER-Cluster_2_yearly_True_window_3_lags_6_sinusoidal_yes_piecewise,True,3,piecewise_lags_6_sinusoidal_yes,0.873,0.985,80.842,81.319,True,True,False,3.425,-4.4,0,2.812,6.441,0.336,326.1551624627273,,,,,,,,,4.505,0.566,1.001,1.124,0.293,0.642
CPER-Cluster_2_yearly_False_window_4_lags_none_sinusoidal_no_piecewise,False,4,piecewise_lags_none_sinusoidal_no,0.29,0.9,136.33,138.247,True,True,False,1.369,-0.818,0,2.105,2.105,0.527,303.6901409536364,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_2_sinusoidal_no_piecewise,False,4,piecewise_lags_2_sinusoidal_no,0.598,0.555,117.434,119.374,False,True,True,1.797,-351.07,0,5.029,7.853,0.117,302.1186075456734,3.824,0.058,,,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_3_sinusoidal_no_piecewise,False,4,piecewise_lags_3_sinusoidal_no,0.625,0.051,111.701,113.292,True,True,True,1.886,-0.381,0,1.851,2.954,0.211,317.9168260015152,,,2.103,0.455,,,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_4_sinusoidal_no_piecewise,False,4,piecewise_lags_4_sinusoidal_no,0.496,0.166,108.034,109.244,True,True,False,0.893,-13.755,0,11.244,16.163,0.144,297.5152646641414,,,,,5.919,0.286,,,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_5_sinusoidal_no_piecewise,False,4,piecewise_lags_5_sinusoidal_no,0.499,0.557,88.236,89.025,True,True,False,2.79,-0.818,0,3.627,4.208,0.731,304.11583240242425,,,,,,,1.581,0.634,,,,,,
CPER-Cluster_2_yearly_False_window_4_lags_6_sinusoidal_no_piecewise,False,4,piecewise_lags_6_sinusoidal_no,0.871,0.148,75.063,75.381,True,True,False,3.346,0.29,0,4.326,11.988,0.293,326.14398987670035,,,,,,,,,8.663,0.12,,,,
CPER-Cluster_2_yearly_False_window_4_lags_none_sinusoidal_yes_piecewise,False,4,piecewise_lags_none_sinusoidal_yes,0.391,0.471,138.187,141.382,True,True,True,1.576,-1.624,0,2.998,3.806,0.257,303.6901409536364,,,,,,,,,,,1.035,1.773,0.323,0.552
CPER-Cluster_2_yearly_False_window_4_lags_2_sinusoidal_yes_piecewise,False,4,piecewise_lags_2_sinusoidal_yes,0.617,0.959,120.856,123.766,True,True,True,1.971,-2652.992,0,5.73,9.22,0.497,302.1186075456734,4.316,0.107,,,,,,,,,1.173,1.001,0.771,0.609
CPER-Cluster_2_yearly_False_window_4_lags_3_sinusoidal_yes_piecewise,False,4,piecewise_lags_3_sinusoidal_yes,0.635,0.115,115.394,117.781,True,True,True,1.924,-7.815,0,1.945,3.28,0.31,317.9168260015152,,,2.224,0.508,,,,,,,1.018,1.092,0.722,0.963
CPER-Cluster_2_yearly_False_window_4_lags_4_sinusoidal_yes_piecewise,False,4,piecewise_lags_4_sinusoidal_yes,0.547,0.253,110.963,112.778,True,True,False,1.038,-819.631,0,86.447,134.819,0.195,297.5152646641414,,,,,42.031,0.6,,,,,4.717,4.624,0.834,0.826
CPER-Cluster_2_yearly_False_window_4_lags_5_sinusoidal_yes_piecewise,False,4,piecewise_lags_5_sinusoidal_yes,0.796,0.685,84.145,85.328,True,True,False,3.493,-0.187,0,12.413,18.279,0.407,304.11583240242425,,,,,,,3.522,0.83,,,1.031,4.313,0.138,0.316
CPER-Cluster_2_yearly_False_window_4_lags_6_sinusoidal_yes_piecewise,False,4,piecewise_lags_6_sinusoidal_yes,0.876,0.636,78.733,79.21,True,True,False,3.278,-3.807,0,16.337,55.283,0.935,326.14398987670035,,,,,,,,,36.335,0.733,3.627,1.985,0.817,0.893
CPER-Cluster_2_yearly_True_window_4_lags_none_sinusoidal_no_piecewise,True,4,piecewise_lags_none_sinusoidal_no,0.29,0.9,136.33,138.247,True,True,False,1.369,-0.818,0,2.105,2.105,0.527,303.6901409536364,,,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_2_sinusoidal_no_piecewise,True,4,piecewise_lags_2_sinusoidal_no,0.598,0.555,117.434,119.374,False,True,True,1.797,-351.07,0,5.029,7.853,0.117,302.1186075456734,3.824,0.058,,,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_3_sinusoidal_no_piecewise,True,4,piecewise_lags_3_sinusoidal_no,0.625,0.051,111.701,113.292,True,True,True,1.886,-0.381,0,1.851,2.954,0.211,317.9168260015152,,,2.103,0.455,,,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_4_sinusoidal_no_piecewise,True,4,piecewise_lags_4_sinusoidal_no,0.496,0.166,108.034,109.244,True,True,False,0.893,-13.755,0,11.244,16.163,0.144,297.5152646641414,,,,,5.919,0.286,,,,,,,,
CPER-Cluster_2_yearly_True_window_4_lags_5_sinusoidal_no_piecewise,True,4,piecewise_lags_5_sinusoidal_no,0.499,0.557,88.236,89.025,True,True,False,2.79,-0.818,0,3.627,4.208,0.731,304.11583240242425,,,,,,,1.581,0.634,,,,,,
