analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_segment,p_value_segment,breakpoint,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_no_piecewise,False,7,piecewise_lags_6_sinusoidal_no,0.074,0.117,909.945,917.43,False,True,False,0.542,-0.192,0,6.076,7.982,0.125,982.142,,,,,2.907,0.37,,,,
Croplands_cluster_1_yearly_False_window_7_lags_none_sinusoidal_yes_piecewise,False,7,piecewise_lags_none_sinusoidal_yes,0.192,0.935,973.145,983.09,True,True,False,0.555,-0.084,0,1.163,1.326,0.711,1104.5638397606062,,,,,,,1.163,1.0,0.017,0.36
Croplands_cluster_1_yearly_False_window_7_lags_1_sinusoidal_yes_piecewise,False,7,piecewise_lags_1_sinusoidal_yes,0.191,0.991,956.849,968.67,True,True,False,0.579,-0.037,0,1.176,1.386,0.638,1103.3328497858588,1.057,0.669,,,,,1.153,1.0,0.024,0.516
Croplands_cluster_1_yearly_False_window_7_lags_2_sinusoidal_yes_piecewise,False,7,piecewise_lags_2_sinusoidal_yes,0.223,0.794,940.079,951.787,True,True,False,0.587,-0.491,0,1.177,1.37,0.64,1103.4143547555555,,,1.04,0.234,,,1.153,1.0,0.021,0.656
Croplands_cluster_1_yearly_False_window_7_lags_6_sinusoidal_yes_piecewise,False,7,piecewise_lags_6_sinusoidal_yes,0.188,0.183,907.663,918.89,False,False,False,0.647,-0.167,0,6.302,8.338,0.2,982.142,,,,,2.991,0.266,1.027,1.018,0.035,0.428
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_no_piecewise,True,7,piecewise_lags_none_sinusoidal_no,0.285,0.036,367.022,370.295,True,True,False,1.019,0.207,0,1.794,1.794,0.015,1026.0059478356277,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_no_piecewise,True,7,piecewise_lags_1_sinusoidal_no,0.374,0.047,349.401,353.58,True,True,False,0.898,-0.193,0,1.86,1.873,0.017,1026.2493253142857,1.013,0.106,,,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_2_sinusoidal_no_piecewise,True,7,piecewise_lags_2_sinusoidal_no,0.379,0.039,335.447,339.43,True,True,False,0.629,-0.539,0,1.114,1.154,0.165,1063.852766344127,,,1.04,0.08,,,,,,
Croplands_cluster_1_yearly_True_window_7_lags_6_sinusoidal_no_piecewise,True,7,piecewise_lags_6_sinusoidal_no,0.804,0.0,260.152,263.243,True,True,False,1.208,0.588,0,1.399,1.652,0.004,1048.2668975204906,,,,,1.253,0.154,,,,
Croplands_cluster_1_yearly_True_window_7_lags_none_sinusoidal_yes_piecewise,True,7,piecewise_lags_none_sinusoidal_yes,0.547,0.247,360.967,366.423,True,True,False,1.298,0.213,0,2.28,2.892,0.313,1026.0059478356277,,,,,,,1.217,1.395,0.006,0.412
Croplands_cluster_1_yearly_True_window_7_lags_1_sinusoidal_yes_piecewise,True,7,piecewise_lags_1_sinusoidal_yes,0.757,0.187,333.506,339.773,True,True,False,1.305,0.429,0,2.484,3.234,0.418,1026.2493253142857,1.023,0.017,,,,,1.208,1.518,0.001,0.01
Croplands_cluster_1_yearly_True_window_7_lags_2_sinusoidal_yes_piecewise,True,7,piecewise_lags_2_sinusoidal_yes,0.808,0.843,316.002,321.977,True,False,True,1.747,0.411,0,1.138,1.396,0.059,1063.852766344127,,,1.048,0.001,,,1.043,1.167,0.0,0.005
Croplands_cluster_1_yearly_True_window_7_lags_6_sinusoidal_yes_piecewise,True,7,piecewise_lags_6_sinusoidal_yes,0.976,0.001,230.435,235.071,True,True,False,2.705,0.903,0,1.883,3.655,0.009,1048.2668975204906,,,,,1.56,0.002,1.036,2.176,0.0,0.308
Croplands_cluster_1_yearly_False_window_8_lags_none_sinusoidal_no_piecewise,False,8,piecewise_lags_none_sinusoidal_no,0.058,0.444,969.605,975.572,True,True,False,0.393,-0.183,0,1.099,1.099,0.091,1091.7933,,,,,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_1_sinusoidal_no_piecewise,False,8,piecewise_lags_1_sinusoidal_no,0.111,0.41,949.753,957.634,True,True,False,0.477,0.042,0,1.098,1.122,0.096,1093.8522,1.024,0.117,,,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_2_sinusoidal_no_piecewise,False,8,piecewise_lags_2_sinusoidal_no,0.086,0.316,937.009,944.814,True,True,False,0.404,-3.089,0,1.103,1.227,0.111,1095.9111,,,1.124,0.314,,,,,,
Croplands_cluster_1_yearly_False_window_8_lags_6_sinusoidal_no_piecewise,False,8,piecewise_lags_6_sinusoidal_no,0.157,0.127,890.351,897.836,False,True,False,0.451,-0.833,0,1.187,1.538,0.017,1077.4086363636363,,,,,1.35,0.209,,,,
Croplands_cluster_1_yearly_False_window_8_lags_none_sinusoidal_yes_piecewise,False,8,piecewise_lags_none_sinusoidal_yes,0.2,0.642,964.776,974.721,True,True,False,0.546,-0.083,0,1.106,1.177,0.747,1091.7933,,,,,,,1.07,1.0,0.006,0.388
Croplands_cluster_1_yearly_False_window_8_lags_1_sinusoidal_yes_piecewise,False,8,piecewise_lags_1_sinusoidal_yes,0.225,0.828,946.486,958.308,True,True,False,0.607,0.074,0,1.104,1.192,0.623,1093.8522,1.025,0.098,,,,,1.062,1.0,0.012,0.646
Croplands_cluster_1_yearly_False_window_8_lags_2_sinusoidal_yes_piecewise,False,8,piecewise_lags_2_sinusoidal_yes,0.238,0.864,931.515,943.223,True,True,False,0.583,-4.526,0,1.11,1.316,0.777,1095.9111,,,1.133,0.26,,,1.072,1.0,0.004,0.644
Croplands_cluster_1_yearly_False_window_8_lags_6_sinusoidal_yes_piecewise,False,8,piecewise_lags_6_sinusoidal_yes,0.255,0.246,888.407,899.634,True,False,False,0.527,-0.675,0,1.236,1.932,0.249,1077.4086363636363,,,,,1.44,0.164,1.244,1.012,0.024,0.725
Croplands_cluster_1_yearly_True_window_8_lags_none_sinusoidal_no_piecewise,True,8,piecewise_lags_none_sinusoidal_no,0.204,0.115,362.545,365.818,True,True,False,0.843,0.117,0,1.554,1.554,0.048,1030.033827864495,,,,,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_1_sinusoidal_no_piecewise,True,8,piecewise_lags_1_sinusoidal_no,0.242,0.216,346.46,350.638,True,True,False,0.685,-0.822,0,1.623,1.677,0.084,1030.1004699376263,1.054,0.357,,,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_2_sinusoidal_no_piecewise,True,8,piecewise_lags_2_sinusoidal_no,0.382,0.048,329.325,333.308,True,True,False,0.628,0.169,0,2.238,2.307,0.084,1024.8515458734848,,,1.068,0.266,,,,,,
Croplands_cluster_1_yearly_True_window_8_lags_6_sinusoidal_no_piecewise,True,8,piecewise_lags_6_sinusoidal_no,0.775,0.0,260.753,263.844,True,True,False,1.152,0.59,0,1.606,1.956,0.02,1037.348892053355,,,,,1.35,0.817,,,,
