analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag6,p_value_lag6,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Croplands_cluster_1_yearly_True_window_3_lags_none_sinusoidal_yes_spline,True,3,spline_lags_none_sinusoidal_yes,0.33,0.821,397.081,404.718,True,True,False,0.944,-1.742,0,1.0,1.004,1.022,1.036,0.914,0.765,0.594,"[np.float64(979.9223333333333), np.float64(1010.47892), np.float64(1021.219783), np.float64(1043.182298), np.float64(1098.72)]",,,,,,,1.025,1.037,0.047,0.287
Croplands_cluster_1_yearly_True_window_3_lags_1_sinusoidal_yes_spline,True,3,spline_lags_1_sinusoidal_yes,0.442,0.949,379.0,387.356,True,True,False,1.191,-13.043,0,1.0,1.183,1.02,1.106,0.83,0.856,0.179,"[np.float64(979.9223333333333), np.float64(1018.010568), np.float64(1027.294567), np.float64(1057.512085), np.float64(1098.72)]",1.151,0.54,,,,,1.144,1.013,0.107,0.181
Croplands_cluster_1_yearly_True_window_3_lags_2_sinusoidal_yes_spline,True,3,spline_lags_2_sinusoidal_yes,0.411,0.407,364.443,372.409,True,True,False,0.925,-3.893,0,1.0,1.094,1.033,1.078,0.949,0.845,0.596,"[np.float64(979.9223333333333), np.float64(1018.853892), np.float64(1034.737701), np.float64(1058.89529), np.float64(1098.72)]",,,1.093,0.215,,,1.045,1.068,0.041,0.132
Croplands_cluster_1_yearly_True_window_3_lags_6_sinusoidal_yes_spline,True,3,spline_lags_6_sinusoidal_yes,0.828,0.181,277.945,284.126,True,True,False,1.177,-238.065,0,1.0,1.128,1.045,1.022,0.795,0.902,0.914,"[np.float64(979.9223333333333), np.float64(1022.148775), np.float64(1045.2261), np.float64(1060.389375), np.float64(1098.72)]",,,,,1.038,0.368,1.127,1.031,0.001,0.857
Croplands_cluster_1_yearly_False_window_4_lags_none_sinusoidal_no_spline,False,4,spline_lags_none_sinusoidal_no,0.031,0.579,1018.501,1028.446,True,True,False,0.533,-0.513,0,1.0,1.0,1.0,1.0,0.316,0.965,0.497,"[np.float64(965.472), np.float64(1012.173011), np.float64(1057.75555), np.float64(1089.19222), np.float64(1225.655992)]",,,,,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_1_sinusoidal_no_spline,False,4,spline_lags_1_sinusoidal_no,0.025,0.748,1003.656,1015.478,True,True,False,0.518,-2.855,0,1.0,1.0,1.041,1.002,0.362,0.87,0.9,"[np.float64(965.472), np.float64(1022.6756), np.float64(1058.9123), np.float64(1090.51148), np.float64(1225.655992)]",1.044,0.653,,,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_2_sinusoidal_no_spline,False,4,spline_lags_2_sinusoidal_no,0.026,0.691,986.094,997.801,True,True,False,0.514,-0.136,0,1.0,1.001,1.138,1.007,0.435,0.891,0.565,"[np.float64(965.472), np.float64(1023.506925), np.float64(1059.683055), np.float64(1091.83074), np.float64(1225.655992)]",,,1.145,0.811,,,,,,
Croplands_cluster_1_yearly_False_window_4_lags_6_sinusoidal_no_spline,False,4,spline_lags_6_sinusoidal_no,0.114,0.133,920.69,931.917,False,True,False,0.599,-0.362,0,1.0,1.541,1.272,1.02,0.064,0.582,0.905,"[np.float64(965.472), np.float64(1018.96656), np.float64(1056.9293), np.float64(1096.042), np.float64(1225.655992)]",,,,,1.833,0.713,,,,
Croplands_cluster_1_yearly_False_window_4_lags_none_sinusoidal_yes_spline,False,4,spline_lags_none_sinusoidal_yes,0.203,0.383,1011.945,1025.868,True,True,False,0.714,-0.006,0,1.0,1.171,1.039,1.001,0.034,0.825,0.517,"[np.float64(965.472), np.float64(1012.173011), np.float64(1057.75555), np.float64(1089.19222), np.float64(1225.655992)]",,,,,,,1.172,1.04,0.003,0.712
Croplands_cluster_1_yearly_False_window_4_lags_1_sinusoidal_yes_spline,False,4,spline_lags_1_sinusoidal_yes,0.198,0.479,997.293,1013.056,True,True,False,0.7,-0.213,0,1.0,1.174,1.071,1.056,0.04,0.756,0.563,"[np.float64(965.472), np.float64(1022.6756), np.float64(1058.9123), np.float64(1090.51148), np.float64(1225.655992)]",1.045,0.735,,,,,1.228,1.029,0.003,0.838
