analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag2,p_value_lag2,vif_ortho_PPT_lag3,p_value_lag3,vif_ortho_PPT_lag4,p_value_lag4,vif_ortho_PPT_lag5,p_value_lag5,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
CPER_yearly_False_window_7_lags_2_sinusoidal_no_linear,False,7,linear_lags_2_sinusoidal_no,0.504,0.001,419.27,423.936,True,False,False,0.414,0.363,0,1.0,,,1.0,0.038,,,,,,,,,,
CPER_yearly_False_window_7_lags_3_sinusoidal_no_linear,False,7,linear_lags_3_sinusoidal_no,0.604,0.01,401.578,406.157,True,False,False,0.436,0.584,0,1.0,,,,,1.0,0.001,,,,,,,,
CPER_yearly_False_window_7_lags_4_sinusoidal_no_linear,False,7,linear_lags_4_sinusoidal_no,0.622,0.046,388.503,392.993,True,True,False,0.585,0.566,0,1.0,,,,,,,1.0,0.0,,,,,,
CPER_yearly_False_window_7_lags_5_sinusoidal_no_linear,False,7,linear_lags_5_sinusoidal_no,0.671,0.592,373.325,377.722,True,True,False,0.56,0.606,0,1.0,,,,,,,,,1.0,0.0,,,,
CPER_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.679,0.0,428.42,434.863,True,True,False,0.352,0.452,0,1.0,,,,,,,,,,,1.0,1.0,0.829,0.0
CPER_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.748,0.0,409.337,417.255,True,True,False,0.647,0.576,0,1.0,1.0,0.141,,,,,,,,,1.0,1.0,0.928,0.0
CPER_yearly_False_window_7_lags_2_sinusoidal_yes_linear,False,7,linear_lags_2_sinusoidal_yes,0.804,0.001,390.815,398.591,True,True,False,0.637,0.694,0,1.0,,,1.0,0.002,,,,,,,1.0,1.0,0.627,0.0
CPER_yearly_False_window_7_lags_3_sinusoidal_yes_linear,False,7,linear_lags_3_sinusoidal_yes,0.835,0.011,375.856,383.488,True,True,False,0.703,0.808,0,1.0,,,,,1.0,0.0,,,,,1.0,1.0,0.364,0.0
CPER_yearly_False_window_7_lags_4_sinusoidal_yes_linear,False,7,linear_lags_4_sinusoidal_yes,0.832,0.011,365.787,373.27,True,True,False,0.809,0.781,0,1.0,,,,,,,1.0,0.0,,,1.0,1.0,0.979,0.0
CPER_yearly_False_window_7_lags_5_sinusoidal_yes_linear,False,7,linear_lags_5_sinusoidal_yes,0.842,0.138,353.83,361.158,True,True,False,0.809,0.801,0,1.0,,,,,,,,,1.0,0.0,1.0,1.0,0.589,0.0
CPER_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.444,0.0,444.726,447.947,True,False,False,0.269,0.233,0,1.0,,,,,,,,,,,,,,
CPER_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.439,0.0,434.19,438.941,True,False,False,0.361,0.31,0,1.0,1.0,0.331,,,,,,,,,,,,
CPER_yearly_True_window_7_lags_2_sinusoidal_no_linear,True,7,linear_lags_2_sinusoidal_no,0.504,0.001,419.27,423.936,True,False,False,0.414,0.363,0,1.0,,,1.0,0.038,,,,,,,,,,
CPER_yearly_True_window_7_lags_3_sinusoidal_no_linear,True,7,linear_lags_3_sinusoidal_no,0.604,0.01,401.578,406.157,True,False,False,0.436,0.584,0,1.0,,,,,1.0,0.001,,,,,,,,
CPER_yearly_True_window_7_lags_4_sinusoidal_no_linear,True,7,linear_lags_4_sinusoidal_no,0.622,0.046,388.503,392.993,True,True,False,0.585,0.566,0,1.0,,,,,,,1.0,0.0,,,,,,
CPER_yearly_True_window_7_lags_5_sinusoidal_no_linear,True,7,linear_lags_5_sinusoidal_no,0.671,0.592,373.325,377.722,True,True,False,0.56,0.606,0,1.0,,,,,,,,,1.0,0.0,,,,
CPER_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.679,0.0,428.42,434.863,True,True,False,0.352,0.452,0,1.0,,,,,,,,,,,1.0,1.0,0.829,0.0
CPER_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.748,0.0,409.337,417.255,True,True,False,0.647,0.576,0,1.0,1.0,0.141,,,,,,,,,1.0,1.0,0.928,0.0
CPER_yearly_True_window_7_lags_2_sinusoidal_yes_linear,True,7,linear_lags_2_sinusoidal_yes,0.804,0.001,390.815,398.591,True,True,False,0.637,0.694,0,1.0,,,1.0,0.002,,,,,,,1.0,1.0,0.627,0.0
CPER_yearly_True_window_7_lags_3_sinusoidal_yes_linear,True,7,linear_lags_3_sinusoidal_yes,0.835,0.011,375.856,383.488,True,True,False,0.703,0.808,0,1.0,,,,,1.0,0.0,,,,,1.0,1.0,0.364,0.0
