analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_spline_0,vif_spline_1,vif_spline_2,p_value_spline_0,p_value_spline_1,p_value_spline_2,knots,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_False_window_2_lags_1_sinusoidal_no_spline,False,2,spline_lags_1_sinusoidal_no,0.118,0.081,1005.498,1017.963,True,True,False,1.19,-0.077,0,1.0,1.008,1.008,1.014,0.527,0.517,0.724,"[np.float64(512.6990000000001), np.float64(688.9847), np.float64(789.0896), np.float64(876.22665), np.float64(1049.0683)]",1.03,0.61,,,,,,
Soybean_yearly_False_window_2_lags_7_sinusoidal_no_spline,False,2,spline_lags_7_sinusoidal_no,0.138,0.953,902.895,914.717,False,True,False,1.202,-0.096,0,1.0,1.041,1.253,1.0,0.781,0.716,0.665,"[np.float64(573.1399999999999), np.float64(697.2284), np.float64(795.1816), np.float64(875.7415), np.float64(1049.0683)]",,,1.294,0.095,,,,
Soybean_yearly_False_window_2_lags_none_sinusoidal_yes_spline,False,2,spline_lags_none_sinusoidal_yes,0.094,0.038,1029.745,1044.405,True,True,False,1.154,-0.22,0,1.0,1.024,1.017,1.029,0.857,0.565,0.782,"[np.float64(512.6990000000001), np.float64(690.52535), np.float64(803.5514), np.float64(875.984075), np.float64(1049.0683)]",,,,,1.049,1.021,0.797,0.872
Soybean_yearly_False_window_2_lags_1_sinusoidal_yes_spline,False,2,spline_lags_1_sinusoidal_yes,0.124,0.092,1009.085,1025.705,False,True,False,1.194,-0.17,0,1.0,1.024,1.025,1.017,0.526,0.575,0.748,"[np.float64(512.6990000000001), np.float64(688.9847), np.float64(789.0896), np.float64(876.22665), np.float64(1049.0683)]",1.03,0.618,,,1.02,1.016,0.796,0.593
Soybean_yearly_False_window_2_lags_7_sinusoidal_yes_spline,False,2,spline_lags_7_sinusoidal_yes,0.143,0.894,906.612,922.375,False,True,False,1.207,-0.28,0,1.0,1.056,1.31,1.021,0.775,0.795,0.728,"[np.float64(573.1399999999999), np.float64(697.2284), np.float64(795.1816), np.float64(875.7415), np.float64(1049.0683)]",,,1.308,0.128,1.017,1.062,0.873,0.645
Soybean_yearly_True_window_2_lags_none_sinusoidal_no_spline,True,2,spline_lags_none_sinusoidal_no,0.314,0.001,613.417,621.472,True,True,False,1.096,0.075,0,1.0,1.0,1.0,1.0,0.166,0.289,0.827,"[np.float64(512.6990000000001), np.float64(725.9385), np.float64(782.92972), np.float64(855.97818), np.float64(996.8371583333334)]",,,,,,,,
Soybean_yearly_True_window_2_lags_1_sinusoidal_no_spline,True,2,spline_lags_1_sinusoidal_no,0.382,0.001,590.122,599.623,True,True,False,1.328,-1.004,0,1.0,1.018,1.032,1.0,0.144,0.344,0.438,"[np.float64(512.6990000000001), np.float64(707.566125), np.float64(811.02875), np.float64(887.056419), np.float64(996.8371583333334)]",1.05,0.752,,,,,,
Soybean_yearly_True_window_2_lags_7_sinusoidal_no_spline,True,2,spline_lags_7_sinusoidal_no,0.469,0.004,485.623,494.03,True,True,True,1.66,0.005,0,1.0,1.034,1.376,1.0,0.159,0.256,0.017,"[np.float64(573.1400000000001), np.float64(682.606125), np.float64(779.3721), np.float64(859.446221), np.float64(996.8371583333334)]",,,1.41,0.499,,,,
Soybean_yearly_True_window_2_lags_none_sinusoidal_yes_spline,True,2,spline_lags_none_sinusoidal_yes,0.33,0.002,616.59,627.866,True,True,False,1.094,0.099,0,1.0,1.09,1.049,1.033,0.217,0.419,0.787,"[np.float64(512.6990000000001), np.float64(725.9385), np.float64(782.92972), np.float64(855.97818), np.float64(996.8371583333334)]",,,,,1.069,1.103,0.433,0.854
Soybean_yearly_True_window_2_lags_1_sinusoidal_yes_spline,True,2,spline_lags_1_sinusoidal_yes,0.448,0.001,590.075,602.743,True,True,False,1.488,-0.158,0,1.0,1.1,1.082,1.08,0.13,0.553,0.289,"[np.float64(512.6990000000001), np.float64(707.566125), np.float64(811.02875), np.float64(887.056419), np.float64(996.8371583333334)]",1.052,0.774,,,1.082,1.129,0.535,0.105
