analysis_name,yearly_aggregate,window_size,config_type,r_squared,p_value,aic,bic,is_normal,is_homoscedastic,no_autocorrelation,durbin_watson,cv_r2_score,cv_r2_std,vif_PPT,vif_ortho_PPT_lag1,p_value_lag1,vif_ortho_PPT_lag7,p_value_lag7,vif_ortho_sin_cycle,vif_ortho_cos_cycle,p_value_sin,p_value_cos
Soybean_yearly_True_window_4_lags_7_sinusoidal_no_linear,True,4,linear_lags_7_sinusoidal_no,0.208,0.044,473.615,477.818,False,True,False,0.439,0.019,0,1.0,,,1.0,0.955,,,,
Soybean_yearly_True_window_4_lags_none_sinusoidal_yes_linear,True,4,linear_lags_none_sinusoidal_yes,0.334,0.001,581.498,587.942,True,True,False,0.474,0.175,0,1.0,,,,,1.0,1.0,0.066,0.772
Soybean_yearly_True_window_4_lags_1_sinusoidal_yes_linear,True,4,linear_lags_1_sinusoidal_yes,0.439,0.0,560.421,568.339,True,False,False,0.615,0.11,0,1.0,1.0,0.91,,,1.0,1.0,0.069,0.194
Soybean_yearly_True_window_4_lags_7_sinusoidal_yes_linear,True,4,linear_lags_7_sinusoidal_yes,0.359,0.008,471.295,478.301,True,False,False,0.583,-0.094,0,1.0,,,1.0,0.692,1.0,1.0,0.302,0.037
Soybean_yearly_False_window_5_lags_none_sinusoidal_no_linear,False,5,linear_lags_none_sinusoidal_no,0.128,0.005,974.888,979.077,True,True,False,0.663,0.098,0,1.0,,,,,,,,
Soybean_yearly_False_window_5_lags_1_sinusoidal_no_linear,False,5,linear_lags_1_sinusoidal_no,0.142,0.004,957.844,964.077,True,True,False,0.694,0.008,0,1.0,1.0,0.695,,,,,,
Soybean_yearly_False_window_5_lags_7_sinusoidal_no_linear,False,5,linear_lags_7_sinusoidal_no,0.141,0.446,853.805,859.716,False,True,False,0.801,0.074,0,1.0,,,1.0,0.261,,,,
Soybean_yearly_False_window_5_lags_none_sinusoidal_yes_linear,False,5,linear_lags_none_sinusoidal_yes,0.135,0.005,978.347,986.724,True,False,False,0.674,0.036,0,1.0,,,,,1.0,1.0,0.819,0.502
Soybean_yearly_False_window_5_lags_1_sinusoidal_yes_linear,False,5,linear_lags_1_sinusoidal_yes,0.163,0.003,960.43,970.818,True,False,False,0.72,-0.089,0,1.0,1.0,0.663,,,1.0,1.0,0.683,0.288
Soybean_yearly_False_window_5_lags_7_sinusoidal_yes_linear,False,5,linear_lags_7_sinusoidal_yes,0.23,0.237,852.065,861.916,True,False,False,0.936,0.082,0,1.0,,,1.0,0.423,1.0,1.0,0.08,0.134
Soybean_yearly_True_window_5_lags_none_sinusoidal_no_linear,True,5,linear_lags_none_sinusoidal_no,0.266,0.001,576.374,579.595,False,True,False,0.201,0.212,0,1.0,,,,,,,,
Soybean_yearly_True_window_5_lags_1_sinusoidal_no_linear,True,5,linear_lags_1_sinusoidal_no,0.362,0.0,555.25,560.0,False,True,False,0.262,0.183,0,1.0,1.0,0.625,,,,,,
Soybean_yearly_True_window_5_lags_7_sinusoidal_no_linear,True,5,linear_lags_7_sinusoidal_no,0.179,0.087,466.689,470.893,False,True,False,0.206,-0.085,0,1.0,,,1.0,0.821,,,,
Soybean_yearly_True_window_5_lags_none_sinusoidal_yes_linear,True,5,linear_lags_none_sinusoidal_yes,0.362,0.001,575.187,581.63,True,True,False,0.235,0.177,0,1.0,,,,,1.0,1.0,0.033,0.897
Soybean_yearly_True_window_5_lags_1_sinusoidal_yes_linear,True,5,linear_lags_1_sinusoidal_yes,0.476,0.0,552.183,560.101,True,False,False,0.317,0.221,0,1.0,1.0,0.638,,,1.0,1.0,0.026,0.274
Soybean_yearly_True_window_5_lags_7_sinusoidal_yes_linear,True,5,linear_lags_7_sinusoidal_yes,0.345,0.011,463.947,470.953,True,False,False,0.302,-0.522,0,1.0,,,1.0,0.693,1.0,1.0,0.192,0.037
Soybean_yearly_False_window_6_lags_none_sinusoidal_no_linear,False,6,linear_lags_none_sinusoidal_no,0.158,0.002,963.549,967.738,True,True,False,0.389,0.107,0,1.0,,,,,,,,
Soybean_yearly_False_window_6_lags_1_sinusoidal_no_linear,False,6,linear_lags_1_sinusoidal_no,0.18,0.002,945.566,951.799,True,True,False,0.404,0.1,0,1.0,1.0,0.71,,,,,,
Soybean_yearly_False_window_6_lags_7_sinusoidal_no_linear,False,6,linear_lags_7_sinusoidal_no,0.169,0.212,845.122,851.033,True,True,False,0.424,0.142,0,1.0,,,1.0,0.385,,,,
Soybean_yearly_False_window_6_lags_none_sinusoidal_yes_linear,False,6,linear_lags_none_sinusoidal_yes,0.174,0.001,966.368,974.745,True,False,False,0.401,0.055,0,1.0,,,,,1.0,1.0,0.545,0.389
Soybean_yearly_False_window_6_lags_1_sinusoidal_yes_linear,False,6,linear_lags_1_sinusoidal_yes,0.216,0.001,946.856,957.244,True,False,False,0.426,0.029,0,1.0,1.0,0.754,,,1.0,1.0,0.41,0.176
Soybean_yearly_False_window_6_lags_7_sinusoidal_yes_linear,False,6,linear_lags_7_sinusoidal_yes,0.292,0.065,840.596,850.448,True,False,False,0.517,0.17,0,1.0,,,1.0,0.663,1.0,1.0,0.034,0.06
Soybean_yearly_True_window_6_lags_none_sinusoidal_no_linear,True,6,linear_lags_none_sinusoidal_no,0.269,0.001,577.02,580.242,False,True,False,0.233,0.154,0,1.0,,,,,,,,
Soybean_yearly_True_window_6_lags_1_sinusoidal_no_linear,True,6,linear_lags_1_sinusoidal_no,0.384,0.0,553.475,558.225,False,True,False,0.337,0.254,0,1.0,1.0,0.651,,,,,,
Soybean_yearly_True_window_6_lags_7_sinusoidal_no_linear,True,6,linear_lags_7_sinusoidal_no,0.175,0.17,468.134,472.337,False,True,False,0.222,0.021,0,1.0,,,1.0,0.595,,,,
Soybean_yearly_True_window_6_lags_none_sinusoidal_yes_linear,True,6,linear_lags_none_sinusoidal_yes,0.361,0.001,576.024,582.468,True,True,False,0.267,0.083,0,1.0,,,,,1.0,1.0,0.037,0.83
Soybean_yearly_True_window_6_lags_1_sinusoidal_yes_linear,True,6,linear_lags_1_sinusoidal_yes,0.498,0.0,550.135,558.052,True,True,False,0.407,0.31,0,1.0,1.0,0.668,,,1.0,1.0,0.032,0.169
Soybean_yearly_True_window_6_lags_7_sinusoidal_yes_linear,True,6,linear_lags_7_sinusoidal_yes,0.353,0.023,464.826,471.832,True,False,False,0.348,-0.426,0,1.0,,,1.0,0.872,1.0,1.0,0.175,0.032
Soybean_yearly_False_window_7_lags_none_sinusoidal_no_linear,False,7,linear_lags_none_sinusoidal_no,0.127,0.005,968.432,972.62,True,False,False,0.233,0.035,0,1.0,,,,,,,,
Soybean_yearly_False_window_7_lags_1_sinusoidal_no_linear,False,7,linear_lags_1_sinusoidal_no,0.149,0.004,947.889,954.121,True,False,False,0.298,0.0,0,1.0,1.0,0.921,,,,,,
Soybean_yearly_False_window_7_lags_7_sinusoidal_no_linear,False,7,linear_lags_7_sinusoidal_no,0.125,0.183,844.882,850.793,True,True,False,0.304,0.103,0,1.0,,,1.0,0.619,,,,
Soybean_yearly_False_window_7_lags_none_sinusoidal_yes_linear,False,7,linear_lags_none_sinusoidal_yes,0.136,0.004,971.779,980.156,True,False,False,0.234,-0.054,0,1.0,,,,,1.0,1.0,0.627,0.538
Soybean_yearly_False_window_7_lags_1_sinusoidal_yes_linear,False,7,linear_lags_1_sinusoidal_yes,0.182,0.002,949.521,959.908,True,False,False,0.307,-0.112,0,1.0,1.0,0.975,,,1.0,1.0,0.46,0.199
Soybean_yearly_False_window_7_lags_7_sinusoidal_yes_linear,False,7,linear_lags_7_sinusoidal_yes,0.282,0.039,838.433,848.285,True,False,False,0.371,0.053,0,1.0,,,1.0,0.985,1.0,1.0,0.026,0.025
Soybean_yearly_True_window_7_lags_none_sinusoidal_no_linear,True,7,linear_lags_none_sinusoidal_no,0.365,0.0,572.973,576.195,True,True,False,0.222,0.261,0,1.0,,,,,,,,
Soybean_yearly_True_window_7_lags_1_sinusoidal_no_linear,True,7,linear_lags_1_sinusoidal_no,0.498,0.0,546.835,551.586,True,False,False,0.391,0.382,0,1.0,1.0,0.37,,,,,,
Soybean_yearly_True_window_7_lags_7_sinusoidal_no_linear,True,7,linear_lags_7_sinusoidal_no,0.292,0.028,462.678,466.881,False,True,False,0.243,0.121,0,1.0,,,1.0,0.984,,,,
Soybean_yearly_True_window_7_lags_none_sinusoidal_yes_linear,True,7,linear_lags_none_sinusoidal_yes,0.462,0.0,570.835,577.279,True,True,False,0.266,0.242,0,1.0,,,,,1.0,1.0,0.021,0.863
Soybean_yearly_True_window_7_lags_1_sinusoidal_yes_linear,True,7,linear_lags_1_sinusoidal_yes,0.622,0.0,540.613,548.531,True,True,False,0.507,0.435,0,1.0,1.0,0.364,,,1.0,1.0,0.012,0.093
Soybean_yearly_True_window_7_lags_7_sinusoidal_yes_linear,True,7,linear_lags_7_sinusoidal_yes,0.506,0.001,455.883,462.889,True,False,False,0.434,-0.238,0,1.0,,,1.0,0.279,1.0,1.0,0.106,0.009
Soybean_yearly_False_window_8_lags_none_sinusoidal_no_linear,False,8,linear_lags_none_sinusoidal_no,0.134,0.004,962.573,966.762,False,False,False,0.19,0.058,0,1.0,,,,,,,,
Soybean_yearly_False_window_8_lags_1_sinusoidal_no_linear,False,8,linear_lags_1_sinusoidal_no,0.162,0.003,940.952,947.185,True,False,False,0.265,-0.057,0,1.0,1.0,0.707,,,,,,
Soybean_yearly_False_window_8_lags_7_sinusoidal_no_linear,False,8,linear_lags_7_sinusoidal_no,0.137,0.135,838.121,844.032,True,True,False,0.246,0.074,0,1.0,,,1.0,0.731,,,,
Soybean_yearly_False_window_8_lags_none_sinusoidal_yes_linear,False,8,linear_lags_none_sinusoidal_yes,0.142,0.004,965.969,974.346,False,False,False,0.192,-0.087,0,1.0,,,,,1.0,1.0,0.684,0.526
Soybean_yearly_False_window_8_lags_1_sinusoidal_yes_linear,False,8,linear_lags_1_sinusoidal_yes,0.198,0.002,942.41,952.798,True,False,False,0.277,-0.182,0,1.0,1.0,0.763,,,1.0,1.0,0.479,0.173
Soybean_yearly_False_window_8_lags_7_sinusoidal_yes_linear,False,8,linear_lags_7_sinusoidal_yes,0.298,0.022,831.13,840.981,True,False,False,0.32,0.15,0,1.0,,,1.0,0.796,1.0,1.0,0.026,0.019
Soybean_yearly_True_window_8_lags_none_sinusoidal_no_linear,True,8,linear_lags_none_sinusoidal_no,0.401,0.0,571.522,574.744,True,True,False,0.207,0.354,0,1.0,,,,,,,,
Soybean_yearly_True_window_8_lags_1_sinusoidal_no_linear,True,8,linear_lags_1_sinusoidal_no,0.552,0.0,542.816,547.567,True,False,False,0.407,0.499,0,1.0,1.0,0.345,,,,,,
Soybean_yearly_True_window_8_lags_7_sinusoidal_no_linear,True,8,linear_lags_7_sinusoidal_no,0.342,0.032,462.039,466.243,False,True,False,0.201,0.129,0,1.0,,,1.0,0.625,,,,
Soybean_yearly_True_window_8_lags_none_sinusoidal_yes_linear,True,8,linear_lags_none_sinusoidal_yes,0.491,0.0,569.501,575.945,True,True,False,0.256,0.354,0,1.0,,,,,1.0,1.0,0.023,0.673
Soybean_yearly_True_window_8_lags_1_sinusoidal_yes_linear,True,8,linear_lags_1_sinusoidal_yes,0.675,0.0,535.225,543.143,True,True,False,0.537,0.465,0,1.0,1.0,0.354,,,1.0,1.0,0.016,0.028
Soybean_yearly_True_window_8_lags_7_sinusoidal_yes_linear,True,8,linear_lags_7_sinusoidal_yes,0.568,0.001,453.435,460.441,True,False,False,0.359,0.142,0,1.0,,,1.0,0.659,1.0,1.0,0.086,0.005
Soybean_yearly_False_window_9_lags_none_sinusoidal_no_linear,False,9,linear_lags_none_sinusoidal_no,0.137,0.004,963.977,968.166,True,False,False,0.227,0.019,0,1.0,,,,,,,,
Soybean_yearly_False_window_9_lags_1_sinusoidal_no_linear,False,9,linear_lags_1_sinusoidal_no,0.168,0.006,941.211,947.444,True,True,False,0.295,0.003,0,1.0,1.0,0.332,,,,,,
Soybean_yearly_False_window_9_lags_7_sinusoidal_no_linear,False,9,linear_lags_7_sinusoidal_no,0.113,0.117,836.819,842.73,True,True,False,0.345,0.025,0,1.0,,,1.0,0.888,,,,
Soybean_yearly_False_window_9_lags_none_sinusoidal_yes_linear,False,9,linear_lags_none_sinusoidal_yes,0.146,0.003,967.332,975.71,True,False,False,0.234,-0.155,0,1.0,,,,,1.0,1.0,0.612,0.554
Soybean_yearly_False_window_9_lags_1_sinusoidal_yes_linear,False,9,linear_lags_1_sinusoidal_yes,0.2,0.003,942.921,953.309,True,False,False,0.317,-0.11,0,1.0,1.0,0.373,,,1.0,1.0,0.448,0.213
Soybean_yearly_False_window_9_lags_7_sinusoidal_yes_linear,False,9,linear_lags_7_sinusoidal_yes,0.303,0.014,828.054,837.906,True,False,False,0.489,0.185,0,1.0,,,1.0,0.61,1.0,1.0,0.016,0.011
Soybean_yearly_True_window_9_lags_none_sinusoidal_no_linear,True,9,linear_lags_none_sinusoidal_no,0.538,0.0,561.587,564.809,True,False,False,0.22,0.456,0,1.0,,,,,,,,
Soybean_yearly_True_window_9_lags_1_sinusoidal_no_linear,True,9,linear_lags_1_sinusoidal_no,0.611,0.0,536.553,541.303,True,False,False,0.319,0.494,0,1.0,1.0,0.821,,,,,,
